Gene symbol,Category,Mouse ortholog,Zebrafish orthologs,D. melanogaster orthologs,C. elegans orthologs,Immunolocalisation evidence***,Antibodies,C. elegans protein tagging studies,BM Interactors,Cell surface Interactors,BM substrate,"Subcellular localization (UNIPROT, Human Protein Atlas)",Matrixome 
ACAN,Basement membrane,Acan,"acana,acanb",-,-,"PMID: 18067481 (H)
PMID: 23074202 (H)
Human Protein Atlas (H)","PMID: 18067481, α-ACAN mAb (Novus Biologicals, HAG7D4)
PMID: 23074202, α-ACAN mAb (R&D Systems, 179509)
HPA, α-ACAN pAb (Atlas Antibodies, HPA038242)",-,"ADAMTS1,ADAMTS16,ADAMTS18,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS8,ADAMTS9,BGN,DCN,FMOD,HAPLN1,LUM,MMP1,MMP2,MMP7,OGN,TNC","CD44,MMP14",-,"Extracellular matrix, Secreted, Intracellular",No
ACHE,Basement membrane,Ache,ache,Ace,ace-1,"PMID: 23976945 (H)
PMID: 28369367 (M)","PMID: 23976945, in-house AE-2 biotinylated α-ACHE (PMID: 6175961)
PMID: 28369367, α-ACHE pAb (Santa Cruz Biotech., sc-2781)",-,COLQ,MUSK,-,"Secreted, Cell junction, Cell membrane, Membrane, Nucleus, Synapse",No
ADAMTS1,Basement membrane,Adamts1,adamts1,AdamTS-A,adt-1,"PMID: 16061471 (M)
PMID: 21411713 (M)
Human Protein Atlas (H)","PMID: 16061471, α-ADAMTS-1 GP12 (BIO-SOURCE)
PMID: 21411713, α-ADAMTS-1 (Cedarlane Laboratories)
HPA, α-ADAMTS1 mAb (Santa Cruz Biotech., CAB16394)",-,"ACAN,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2,VCAN",-,"ACAN, BCAN, DAG1, NID1, NID2, SDC4, THBS1, THBS2, VCAN","Extracellular matrix, Secreted, Intracellular",No
ADAMTS2,Basement membrane,Adamts2,adamts2,-,-,Human Protein Atlas (H),"HPA, ɑ-ADAMTS2 pAb (Atlas Antibodies, HPA028444)",-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,COL2A1,COL5A1,EFEMP2,SPON1,SPON2,THBS1,THBS2",-,"ADAM10, ADAMTS1, DCN, FN1, FBLN2, FBLN3, LOXL1, HSPG2, procollagen types II, IV, V and XVIII, THBS1, VCAN","Extracellular matrix, Secreted, Intracellular",No
ADAMTS3,Basement membrane,Adamts3,adamts3,-,adt-2,Human Protein Atlas (H),"HPA, ɑ-ADAMTS3 pAb (Atlas Antibodies, HPA021368)",-,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,COL2A1,COL5A1,SPON1,SPON2,THBS1,THBS2,TIMP3",-,"ADAM10, ADAMTS1, DCN, FN1, FBLN2, FBLN3, LOXL1, HSPG2, procollagen types II, IV, V and XVIII, THBS1, VCAN","Extracellular matrix, Secreted",No
ADAMTS4,Basement membrane,Adamts4,adamtsl4,AdamTS-A,-,-,-,-,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,BCAN,SPON1,SPON2,THBS1,THBS2,TIMP3",-,"ACAN, BGN, BCAN, DCN, FMOD, FN1, FBLN2, MATN2, VCAN, SPARCL1","Extracellular matrix, Secreted, Intracellular",No
ADAMTS5,Basement membrane,Adamts5,adamts5,AdamTS-A,-,PMID: 32651223 (M),"PMID 32651223, ɑ-ADAMTS5 (Abcam)",-,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,BCAN,COL2A1,SPON1,SPON2,THBS1,THBS2,TIMP3",-,"ACAN, BGN, BCAN, DCN, FMOD, FN1, MATN2, MATN4, VCAN","Extracellular matrix, Secreted",No
ADAMTS6,Basement membrane,Adamts6,adamts6,-,-,-,-,-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS7,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
ADAMTS7,Basement membrane,Adamts7,adamts7,CG4096,-,-,-,-,"ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS8,ADAMTS9,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
ADAMTS8,Basement membrane,Adamts8,adamts8a,AdamTS-A,-,PMID: 29860265 (H),"PMID: 29860265, ɑ-ADAMTS8/18/20 pAb (Thermo Fisher Scientific, PA5-64274)",-,"ACAN,ADAMTS1,ADAMTS10,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS9,COL18A1,SPON1,SPON2,THBS1,THBS2",-,-,"Extracellular matrix, Secreted",No
