p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.83858165768e-05	0.00289535329084	GO:0046688	b	5	response to copper ion	26; 4493; 4495; 645745	AOC1; MT1E; MT1G; MT1HL1	43	14
3.83582059903e-05	0.00426899991173	GO:0015893	b	4	drug transport	153201; 2348; 3043; 6540; 3039; 23428; 160728	SLC7A8; SLC36A2; HBB; HBA1; SLC5A8; SLC6A13; FOLR1	229	70
4.01819647244e-05	0.00204928020095	GO:0044281	b	2	small molecule metabolic process	246; 275; 587; 670; 759; 762; 1337; 2346; 2348; 2628; 2948; 55526; 5805; 9167; 9249; 51142; 51733; 79799; 79814; 80724; 113675; 63826; 51004; 348158; 55856; 26061; 25828; 27034; 160728; 130589	HACL1; UGT2A3; DHTKD1; SLC5A8; ALOX15; UPB1; ACAD10; CHCHD2; DHRS3; GATM; ACOT13; PTS; AMT; FOLH1; BCAT2; ACSM2B; SRR; BPHL; AGMAT; GALM; COX6A1; COX7A2L; TXN2; SDSL; ACAD8; CA1; GSTM4; CA4; COQ6; FOLR1	2157	1111
4.69120869421e-05	0.00586401086776	GO:0010273	b	3	detoxification of copper ion	4493; 4495; 645745	MT1E; MT1G; MT1HL1	16	6
4.69120869421e-05	0.00426899991173	GO:1990169	b	4	stress response to copper ion	4493; 4495; 645745	MT1E; MT1G; MT1HL1	16	6
8.71842309322e-05	0.00528917667655	GO:0008652	b	4	cellular amino acid biosynthetic process	587; 2346; 2628; 51733; 113675; 63826	SDSL; BCAT2; SRR; GATM; UPB1; FOLH1	88	55
0.000111431803246	0.00267436327789	GO:0048037	m	2	cofactor binding	26; 2948; 3043; 55526; 80724; 113675; 63826; 3039; 51004; 55349; 80224; 26061; 27034	AOC1; SRR; SDSL; HACL1; GSTM4; NUBPL; HBB; DHTKD1; ACAD8; HBA1; CHDH; ACAD10; COQ6	512	290
0.00012880715007	0.00328458232679	GO:0061687	b	2	detoxification of inorganic compound	4493; 4495; 645745	MT1E; MT1G; MT1HL1	18	8
0.00012880715007	0.00649738387718	GO:0097501	b	3	stress response to metal ion	4493; 4495; 645745	MT1E; MT1G; MT1HL1	19	8
0.000155937213052	0.00649738387718	GO:0006520	b	3	cellular amino acid metabolic process	275; 587; 670; 2346; 2628; 5805; 51733; 79814; 113675; 63826; 25828; 27034	TXN2; SDSL; ACAD8; BCAT2; SRR; GATM; BPHL; AGMAT; UPB1; PTS; AMT; FOLH1	365	259
0.00017702960817	0.00621495936373	GO:0015711	b	5	organic anion transport	759; 762; 2348; 3043; 6540; 10864; 3039; 153201; 23428; 160728	SLC7A8; CA1; SLC36A2; HBB; HBA1; SLC5A8; SLC22A7; SLC6A13; CA4; FOLR1	505	186
0.000182792922463	0.00781847620541	GO:0015187	m	3	glycine transmembrane transporter activity	153201; 23428	SLC36A2; SLC7A8	9	2
0.000182792922463	0.00621495936373	GO:0015816	b	5	glycine transport	153201; 23428	SLC36A2; SLC7A8	13	2
0.000182792922463	0.00201072214709	GO:0140161	m	5	monocarboxylate:sodium symporter activity	6540; 160728	SLC6A13; SLC5A8	11	2
0.000182792922463	0.00201072214709	GO:0003941	m	5	L-serine ammonia-lyase activity	113675; 63826	SRR; SDSL	3	2
0.000262635450427	0.00669720398589	GO:0019752	b	5	carboxylic acid metabolic process	246; 275; 587; 670; 2346; 2348; 2628; 2948; 5805; 51733; 79799; 79814; 80724; 113675; 63826; 348158; 55526; 26061; 25828; 27034	TXN2; DHTKD1; SDSL; HACL1; UGT2A3; ACAD8; GSTM4; BCAT2; ACSM2B; AMT; SRR; GATM; ALOX15; BPHL; AGMAT; UPB1; ACAD10; PTS; FOLR1; FOLH1	1088	651
0.000319121477772	0.00781847620541	GO:0043169	m	3	cation binding	26; 246; 759; 762; 1014; 1200; 2346; 3043; 4493; 4495; 55526; 5805; 645745; 8424; 340706; 51733; 79814; 63826; 3039; 348158; 84735; 80224; 55561; 55856; 26061; 255743; 9616; 257160	AOC1; CDH16; HACL1; NUBPL; HBB; DHTKD1; RNF214; ALOX15; UPB1; MT1HL1; BBOX1; CDC42BPG; MT1E; MT1G; PTS; FOLH1; TPP1; VWA2; ACSM2B; SRR; AGMAT; HBA1; CNDP1; ACOT13; CA1; CA4; NPNT; RNF7	4346	1113
0.000336110900363	0.0105034656364	GO:0042133	b	3	neurotransmitter metabolic process	275; 2644; 3043; 51733; 113675; 55349	SDSL; HBB; UPB1; CHDH; AMT; GCHFR	143	70
0.00044581500568	0.0202845827584	GO:0043436	b	4	oxoacid metabolic process	246; 275; 587; 670; 2346; 2348; 2628; 2948; 5805; 51733; 79799; 79814; 80724; 113675; 63826; 348158; 55526; 26061; 25828; 27034	TXN2; DHTKD1; SDSL; HACL1; UGT2A3; ACAD8; GSTM4; BCAT2; ACSM2B; AMT; SRR; GATM; ALOX15; BPHL; AGMAT; UPB1; ACAD10; PTS; FOLR1; FOLH1	1179	677
0.000500398228817	0.00459825052964	GO:0016829	m	2	lyase activity	759; 762; 2948; 5805; 113675; 63826; 26061	SDSL; HACL1; CA1; GSTM4; CA4; SRR; PTS	194	105
