p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.66412018882e-53	3.59083778504e-51	GO:0062023	c	3	collagen-containing extracellular matrix	2; 12; 183; 259; 301; 302; 350; 563; 710; 713; 871; 1012; 1075; 1282; 1284; 1291; 1292; 1293; 1306; 1462; 1490; 1509; 1634; 1805; 1992; 2162; 2200; 2202; 2220; 2243; 2244; 2266; 2331; 2335; 3263; 3371; 3490; 3691; 3700; 3827; 3908; 3910; 3912; 3913; 3915; 3956; 3958; 4052; 4060; 4147; 4240; 4318; 4969; 5104; 5118; 5176; 5265; 5270; 5549; 5553; 5858; 6278; 6279; 6280; 6422; 6423; 6678; 7040; 7045; 7052; 7837; 10516; 10631; 11117; 80781; 54829; 22795; 127435; 30008; 64856	TGFB1; CDH13; DPT; LUM; TNC; CCN2; NID2; VCAN; TGM2; HPX; VWA1; LGALS3; SERPING1; PRG2; LAMB1; F13A1; FBLN5; AGT; S100A7; A2M; SERPINE2; DCN; SERPINA1; SERPINA3; MFGE8; MATN2; ASPN; AMBP; PZP; APOH; ITIH4; COL18A1; SPARC; S100A9; S100A8; FMOD; PCOLCE; PRELP; FGG; FGA; FGB; ANXA1; FCN2; LAMA2; ANXA2; LAMA4; ITGB4; LTBP1; PODN; EFEMP1; CTSC; CTSD; FBN1; POSTN; SERPINF1; COL4A2; COL4A1; SERPINB1; LAMB2; LGALS1; LAMC1; SERPINH1; SERPINA5; SFRP2; COL15A1; SFRP1; EMILIN1; FN1; AZGP1; KNG1; C1QB; EFEMP2; OGN; MMP9; COL6A1; TGFBI; COL6A3; COL6A2; PXDN; IGFBP7	426	185
4.12787373377e-52	2.97206908832e-50	GO:0031012	c	2	extracellular matrix	2; 12; 183; 259; 301; 302; 350; 563; 710; 713; 871; 1012; 1075; 1116; 1282; 1284; 1291; 1292; 1293; 1306; 1462; 1490; 1509; 1634; 1805; 1992; 2162; 2200; 2202; 2220; 2243; 2244; 2266; 2331; 2335; 3263; 3371; 3490; 3691; 3700; 3827; 3908; 3910; 3912; 3913; 3915; 3956; 3958; 4052; 4060; 4147; 4240; 4316; 4318; 4969; 5104; 5118; 5176; 5265; 5270; 5549; 5553; 5858; 6278; 6279; 6280; 6422; 6423; 6678; 7040; 7045; 7052; 7837; 10516; 10631; 11117; 80781; 54829; 22795; 127435; 30008; 64856	TGFB1; CDH13; DPT; LUM; TNC; CCN2; NID2; VCAN; TGM2; HPX; VWA1; LGALS3; SERPING1; PRG2; CHI3L1; LAMB1; F13A1; FBLN5; AGT; S100A7; A2M; SERPINE2; DCN; SERPINA1; SERPINA3; MFGE8; MATN2; ASPN; AMBP; PZP; APOH; ITIH4; COL18A1; SPARC; S100A9; S100A8; FMOD; PCOLCE; PRELP; FGG; FGA; FGB; ANXA1; FCN2; LAMA2; ANXA2; LAMA4; ITGB4; LTBP1; PODN; EFEMP1; CTSC; CTSD; FBN1; POSTN; SERPINF1; COL4A2; COL4A1; TGFBI; SERPINB1; LAMB2; LGALS1; LAMC1; SERPINH1; SERPINA5; SFRP2; COL15A1; SFRP1; EMILIN1; FN1; AZGP1; KNG1; C1QB; EFEMP2; OGN; MMP9; COL6A1; MMP7; COL6A3; COL6A2; PXDN; IGFBP7	566	201
7.97167711639e-38	5.61206068994e-35	GO:0030198	b	4	extracellular matrix organization	2; 183; 822; 871; 960; 961; 1282; 1284; 1291; 1292; 1293; 1306; 1462; 1490; 1634; 1805; 2200; 2243; 2244; 2266; 2331; 2335; 3371; 3679; 3684; 3689; 3690; 3691; 3693; 3694; 3818; 3908; 3910; 3912; 3913; 3915; 3936; 4035; 4060; 4316; 4318; 4629; 6423; 6624; 6678; 6696; 7040; 7045; 7412; 7837; 10516; 10631; 11117; 79709; 80781; 22795; 30008; 64856	MYH11; DPT; LAMC1; TNC; CCN2; TGFB1; VCAN; LAMA2; ITGA7; COLGALT1; LAMB1; LAMA4; AGT; A2M; FBLN5; DCN; LAMB2; LUM; NID2; SPARC; FMOD; VWA1; FGG; FGA; FGB; ITGB3; ITGB2; ITGB5; ITGB4; KLKB1; ITGB6; COL18A1; CD44; CD47; EFEMP2; FBN1; POSTN; COL4A2; COL4A1; TGFBI; LCP1; CAPG; SERPINH1; FSCN1; SFRP2; COL15A1; LRP1; EMILIN1; FN1; SPP1; ITGAM; MMP9; COL6A1; MMP7; COL6A3; COL6A2; PXDN; VCAM1	393	135
8.83890652163e-38	4.41945326081e-36	GO:0005201	m	2	extracellular matrix structural constituent	1116; 1282; 1284; 1291; 1292; 1293; 1306; 1462; 1634; 1805; 2200; 2202; 2243; 2244; 2266; 2331; 2335; 3371; 3490; 3908; 3910; 3912; 3913; 3915; 4052; 4060; 4147; 4240; 4969; 5118; 5549; 5553; 6678; 7045; 7837; 10516; 10631; 11117; 80781; 54829; 22795; 127435; 30008; 64856	DPT; COL4A1; MFGE8; VCAN; VWA1; PRG2; CHI3L1; LAMB1; LAMB2; LUM; FBLN5; DCN; PODN; NID2; ASPN; COL18A1; SPARC; FMOD; PCOLCE; PRELP; FGG; FGA; FGB; LAMA2; MATN2; LAMA4; LTBP1; EFEMP1; EFEMP2; FBN1; POSTN; COL4A2; TNC; LAMC1; COL15A1; EMILIN1; FN1; OGN; COL6A1; TGFBI; COL6A3; COL6A2; PXDN; IGFBP7	169	71
1.5941577676e-34	5.72302638569e-32	GO:0043062	b	3	extracellular structure organization	2; 183; 338; 822; 871; 960; 961; 1282; 1284; 1291; 1292; 1293; 1306; 1462; 1490; 1634; 1805; 2200; 2243; 2244; 2266; 2331; 2335; 3371; 3679; 3684; 3689; 3690; 3691; 3693; 3694; 3818; 3908; 3910; 3912; 3913; 3915; 3936; 4035; 4060; 4316; 4318; 4353; 4629; 6423; 6624; 6678; 6696; 7040; 7045; 7412; 7837; 10516; 10631; 11117; 79709; 80781; 22795; 30008; 64856	MYH11; DPT; LAMC1; TNC; CCN2; TGFB1; VCAN; LAMA2; ITGA7; COLGALT1; LAMB1; LAMA4; AGT; A2M; FBLN5; DCN; LAMB2; APOB; LUM; NID2; SPARC; FMOD; VWA1; FGG; FGA; FGB; ITGB3; ITGB2; ITGB5; ITGB4; KLKB1; ITGB6; COL18A1; CD44; CD47; EFEMP2; FBN1; POSTN; COL4A2; COL4A1; TGFBI; LCP1; CAPG; SERPINH1; FSCN1; SFRP2; COL15A1; LRP1; EMILIN1; FN1; MPO; SPP1; ITGAM; MMP9; COL6A1; MMP7; COL6A3; COL6A2; PXDN; VCAM1	454	163
4.82069782491e-34	1.73545121697e-32	GO:0005615	c	2	extracellular space	2; 12; 183; 240; 259; 301; 302; 306; 338; 350; 383; 563; 629; 710; 713; 715; 716; 717; 718; 720; 727; 729; 730; 822; 871; 929; 960; 961; 983; 1012; 1075; 1116; 1282; 1284; 1291; 1292; 1293; 1306; 1356; 1368; 1401; 1410; 1462; 1474; 1475; 1490; 1509; 1634; 1674; 1805; 1956; 1992; 2162; 2182; 2194; 2200; 2202; 2220; 2243; 2244; 2266; 2289; 2316; 2331; 2335; 2519; 2810; 3071; 3075; 3240; 3263; 3371; 3430; 3490; 3684; 3689; 3690; 3691; 3693; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3910; 3912; 3913; 3915; 3934; 3936; 3956; 3958; 4057; 4060; 4067; 4125; 4162; 4240; 4316; 4318; 4332; 4353; 4629; 4925; 4969; 5104; 5118; 5176; 5214; 5265; 5270; 5284; 5339; 5351; 5549; 5553; 5630; 5696; 5698; 5720; 5788; 5836; 5858; 5880; 5968; 6278; 6279; 6280; 6318; 6422; 6423; 6424; 6624; 6653; 6678; 6696; 6768; 6906; 7018; 7040; 7045; 7052; 7412; 7431; 7837; 5740; 9476; 10409; 10516; 10631; 10747; 10970; 11117; 11151; 11240; 374454; 80781; 51752; 26509; 83706; 116496; 51571; 117159; 84617; 54829; 22795; 23180; 23659; 152007; 127435; 29926; 30008; 30851; 64855; 64856; 64926	TGM2; LUM; CPM; CCN2; MAN2B1; MASP2; FKBP5; CHI3L1; RASAL3; AGT; FBLN5; DCN; NAPSA; MFGE8; PSME1; NID2; DCD; PZP; CTSC; FMOD; LYN; FGG; PYGL; FGA; FGB; ALOX5; IFI35; CTSD; VWA1; TF; SERPINB1; SERPINB4; NUCB2; COL15A1; EMILIN1; FN1; VCAN; C1QB; ACSL4; VIM; SFN; PXDN; CRP; HP; DES; ANXA3; ST14; ANXA2; PRG2; LAMB1; RAC2; LAMB2; SERPINE2; APOB; REG1B; S100A9; NCKAP1L; APOH; ITIH4; TUBB6; C4A; PCOLCE; FCN2; EFEMP2; EFEMP1; PSMB8; TGFBI; PLEC; COL4A2; COL4A1; CAPG; PLA2G15; AZGP1; ARG1; PRPH; CD14; ITGAM; KRT10; FLNA; IGFBP7; MYH11; KRT77; CYRIB; ERAP1; KRT2; SERPING1; KRT7; ITIH3; A2M; NIBAN2; SORL1; PODN; LAMC1; ASPN; SPARC; FASN; S100A8; C3; C2; PRELP; C7; C6; C5; LAMA4; EGFR; CSTA; GMPPA; MCAM; FERMT3; SERPINF1; LTF; LGALS3; LGALS1; CP; S100A7; FSCN1; SFRP2; SFRP1; SFRP4; CST6; KNG1; CDK1; BASP1; SPP1; ITGB2; PSMB9; MPO; TGFB1; CDH13; DPT; LCN2; CRYAB; CORO1A; F13A1; MYOF; SERPINA1; SERPINA3; NIBAN1; SERPINA5; SERPINA7; PLOD1; AMBP; PFKP; RFTN1; MNDA; GLIPR2; ANXA1; ITGB3; HPX; ITGB5; ITGB4; KLKB1; COL18A1; CD44; CD47; PTGIS; FBN1; C1S; PIGR; PADI2; TNC; MMP7; LCP1; SERPINH1; TAX1BP3; CFH; POSTN; CFB; OGN; PTPRC; CKAP4; MMP9; COL6A1; C1R; COL6A3; COL6A2; FUCA2; VCAM1	3423	1431
4.12101734649e-26	7.39722613695e-24	GO:0006952	b	3	defense response	2; 12; 183; 199; 240; 301; 306; 338; 383; 629; 710; 713; 715; 716; 717; 718; 720; 727; 729; 730; 817; 929; 960; 961; 1075; 1116; 1401; 1536; 1956; 2220; 2242; 2243; 2244; 2266; 2316; 2335; 2633; 3075; 3240; 3263; 3428; 3430; 3684; 3689; 3694; 3700; 3818; 3827; 3934; 3958; 4035; 4057; 4067; 4318; 4332; 4353; 4360; 5176; 5265; 5553; 5696; 5698; 5720; 5788; 6278; 6279; 6280; 6318; 6696; 6772; 6890; 7018; 7040; 7052; 7412; 7431; 5740; 8639; 8876; 9188; 9332; 10747; 10892; 11151; 11326; 51752; 51473; 117159; 151636; 23166; 23180; 201294	TAP1; TGM2; AOC3; CHI3L1; AGT; MRC1; DCD; CTSC; LYN; FGG; FGA; FGB; CAMK2D; ALOX5; IFI35; TF; SERPINB4; FN1; C1QB; MASP2; VIM; CRP; LTF; VSIG4; ARG1; HPX; PRG2; APOB; ITIH4; C4A; FCN2; GBP1; VNN1; DCDC2; MPO; CD14; ITGAM; FLNA; AIF1; DTX3L; ERAP1; SERPING1; A2M; STAT1; IFI16; S100A9; S100A8; C3; C2; S100A7; C7; HP; C5; UNC13D; SERPINF1; VCAM1; LGALS3; LRP1; KNG1; C6; SPP1; PSMB9; PSMB8; TGFB1; STAB1; LCN2; EGFR; CORO1A; SERPINA1; SERPINA3; RFTN1; MNDA; MALT1; ANXA1; ANXA3; ITGB2; KLKB1; ITGB6; CD44; CD47; PTGIS; PSME1; CYBB; DDX21; CFH; CD163; CFB; PTPRC; MMP9; C1S; C1R; FES	1876	508
6.43668786705e-25	8.43206110583e-23	GO:0007155	b	2	cell adhesion	199; 240; 259; 301; 302; 383; 563; 960; 961; 1004; 1012; 1291; 1292; 1293; 1306; 1462; 1475; 1490; 1805; 1956; 2200; 2242; 2243; 2244; 2266; 2316; 2335; 2633; 3071; 3371; 3490; 3679; 3684; 3689; 3690; 3691; 3693; 3694; 3827; 3908; 3910; 3912; 3913; 3915; 3956; 3958; 4035; 4067; 4162; 4240; 5239; 5270; 5754; 5788; 5880; 5921; 6279; 6280; 6422; 6423; 6696; 7040; 7045; 7052; 7412; 8639; 8876; 9404; 10516; 10580; 10631; 10892; 11117; 11151; 11326; 80781; 83706; 51571; 54751; 22795; 23166; 201294; 30008; 64926	TGFB1; CDH13; DPT; STAB1; CCN2; PGM5; EGFR; LAMA2; ITGA7; VNN1; LAMB1; TGM2; NCKAP1L; VSIG4; PTK7; FBLIM1; GBP1; LAMA4; FBLN5; LAMB2; RAC2; RASAL3; SERPINE2; MFGE8; SORBS1; CYRIB; AMBP; ITGB2; NID2; AOC3; MALT1; S100A9; S100A8; VCAM1; CD44; SPP1; LYN; FGG; ALOX5; FGB; CDH6; ANXA1; ITGB3; ANXA2; ITGB5; ITGB4; ITGB6; COL18A1; VCAN; CD47; CSTA; MCAM; FBN1; POSTN; UNC13D; SFRP1; EFEMP2; FES; TNC; TGFBI; LGALS3; LGALS1; LAMC1; RASA1; SFRP2; COL15A1; LRP1; EMILIN1; FN1; FERMT3; AZGP1; ARG1; KNG1; FGA; CORO1A; PTPRC; ITGAM; LPXN; COL6A1; FLNA; COL6A3; COL6A2; AIF1; IGFBP7	1457	445
2.55879759581e-23	1.67601242526e-21	GO:0009605	b	2	response to external stimulus	2; 131; 183; 199; 240; 301; 306; 338; 350; 383; 629; 710; 713; 715; 716; 717; 718; 720; 727; 729; 730; 761; 929; 961; 1012; 1075; 1116; 1373; 1401; 1536; 1634; 1890; 1956; 2182; 2220; 2242; 2243; 2244; 2266; 2289; 2316; 2519; 2633; 3071; 3075; 3240; 3371; 3428; 3430; 3689; 3690; 3694; 3818; 3827; 3908; 3913; 3934; 3958; 4035; 4057; 4067; 4131; 4316; 4318; 4353; 4360; 4925; 5176; 5270; 5553; 5788; 5836; 5880; 5968; 6278; 6279; 6280; 6422; 6423; 6653; 6678; 6696; 6772; 7018; 7040; 7052; 7412; 7431; 5740; 9188; 9260; 10514; 10631; 10892; 10999; 11151; 11240; 11326; 51752; 51571; 117159; 151636; 23166; 201294; 64855	TGM2; FKBP5; CHI3L1; AGT; DCN; MRC1; DCD; LYN; FGG; PYGL; FGA; FGB; ALOX5; IFI35; POSTN; LRP1; NUCB2; C1QB; ACSL4; VIM; CPS1; CRP; HP; ANXA3; ITGB2; PRG2; LAMB2; SERPINE2; APOB; KLKB1; APOH; C4A; FCN2; MAP1B; PDLIM7; GBP1; MPO; CD14; MYBBP1A; FLNA; AIF1; DTX3L; VSIG4; CYRIB; ERAP1; SERPING1; A2M; NIBAN2; SORL1; STAT1; SPARC; IFI16; S100A9; S100A8; C3; C2; S100A7; C7; C6; C5; LAMA2; UNC13D; SERPINF1; FES; LGALS3; SLC27A4; SFRP2; SFRP1; ADH7; KNG1; SPP1; ARG1; TGFB1; CDH13; NCKAP1L; STAB1; LCN2; EGFR; CORO1A; VCAM1; TF; MALT1; ANXA1; ITGB3; CTSC; RAC2; REG1B; ITGB6; CD47; PTGIS; CYBB; PADI2; TNC; C1R; DDX21; CFH; CA3; CFB; TYMP; PTPRC; MMP9; C1S; MMP7; FUCA2; LTF	2572	697
5.75172312275e-23	2.81834433015e-21	GO:1903561	c	3	extracellular vesicle	2; 12; 183; 259; 301; 302; 306; 338; 350; 563; 629; 710; 715; 717; 718; 720; 727; 729; 730; 822; 929; 960; 961; 983; 1012; 1075; 1116; 1284; 1291; 1292; 1293; 1306; 1356; 1368; 1410; 1474; 1509; 1674; 1992; 2182; 2194; 2202; 2220; 2243; 2244; 2266; 2289; 2316; 2335; 2519; 2810; 3071; 3075; 3240; 3263; 3490; 3684; 3689; 3690; 3691; 3693; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3910; 3912; 3913; 3915; 3934; 3936; 3956; 3958; 4057; 4060; 4067; 4125; 4240; 4316; 4318; 4332; 4353; 4629; 4925; 4969; 5104; 5118; 5176; 5214; 5265; 5270; 5284; 5339; 5351; 5549; 5553; 5630; 5696; 5698; 5720; 5788; 5836; 5858; 5880; 5968; 6279; 6280; 6422; 6624; 6653; 6696; 6906; 7018; 7045; 7052; 7412; 7431; 7837; 9476; 10409; 10516; 10747; 10970; 11117; 11151; 11240; 374454; 80781; 51752; 26509; 83706; 116496; 51571; 117159; 84617; 22795; 23180; 23659; 152007; 29926; 30008; 30851; 64855; 64856; 64926	TGM2; CPM; MFGE8; MAN2B1; MASP2; FKBP5; CHI3L1; RASAL3; AGT; FBLN5; NAPSA; NID2; DCD; PZP; LYN; FGG; PYGL; FGA; FGB; CTSC; CTSD; VWA1; TF; SERPINB1; NUCB2; COL15A1; FN1; ACSL4; VIM; SFN; PXDN; ERAP1; HP; DES; ANXA3; ITIH4; PRG2; LAMB1; RAC2; LAMB2; SERPINE2; APOB; REG1B; S100A9; APOH; A2M; TUBB6; C4A; PCOLCE; FCN2; EFEMP1; EFEMP2; TGFBI; PLEC; COL4A2; LAMC1; PLA2G15; AZGP1; MPO; PRPH; CD14; ITGAM; KRT10; FLNA; IGFBP7; MYH11; KRT77; CYRIB; KRT2; SERPING1; KRT7; ITIH3; LUM; NIBAN2; SORL1; CAPG; FASN; S100A8; C3; C2; PRELP; C7; C6; C5; LAMA4; GMPPA; ANXA2; FERMT3; SERPINF1; LTF; LGALS3; LGALS1; CP; FSCN1; SFRP1; EMILIN1; CST6; KNG1; CDK1; BASP1; SPP1; ITGB2; PSMB9; PSMB8; CDH13; NCKAP1L; LCN2; CRYAB; CORO1A; MYOF; SERPINA1; SERPINA3; NIBAN1; SERPINA5; SERPINA7; PLOD1; AMBP; PFKP; RFTN1; MNDA; GLIPR2; ANXA1; ITGB3; HPX; ITGB5; ITGB4; KLKB1; COL18A1; CD44; CD47; PSME1; PIGR; PADI2; C1R; LCP1; TAX1BP3; CFH; CFB; OGN; PTPRC; CKAP4; MMP9; COL6A1; MMP7; COL6A3; COL6A2; FUCA2; VCAM1	2167	1262
