p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000153418034297	0.00180738954903	GO:0019842	m	3	vitamin binding	56267; 63826; 26061; 64902	SRR; HACL1; KYAT3; AGXT2	148	82
0.000176453750348	0.0017893092662	GO:0042579	c	4	microbody	26; 51179; 23600; 26061	AOC1; AMACR; HAO2; HACL1	139	85
0.000176453750348	0.000321174891364	GO:0005777	c	5	peroxisome	26; 51179; 23600; 26061	AOC1; AMACR; HAO2; HACL1	139	85
0.000238574568827	0.0017893092662	GO:0031907	c	4	microbody lumen	51179; 23600; 26061	HACL1; AMACR; HAO2	51	36
0.000238574568827	0.000321174891364	GO:0005782	c	5	peroxisomal matrix	51179; 23600; 26061	HACL1; AMACR; HAO2	51	36
0.000240881168523	0.000321174891364	GO:0014731	c	5	spectrin-associated cytoskeleton	286; 6708	SPTA1; ANK1	9	7
0.000280656924736	0.00180738954903	GO:0070279	m	3	vitamin B6 binding	56267; 63826; 64902	SRR; KYAT3; AGXT2	56	38
0.000280656924736	0.00224525539789	GO:0030170	m	4	pyridoxal phosphate binding	56267; 63826; 64902	SRR; KYAT3; AGXT2	56	38
0.000308021724027	0.00554439103248	GO:0048037	m	2	cofactor binding	26; 56267; 51179; 63826; 26061; 64902	AOC1; HACL1; AGXT2; SRR; HAO2; KYAT3	512	290
0.000361477909805	0.00180738954903	GO:0050662	m	3	coenzyme binding	56267; 63826; 51179; 26061; 64902	SRR; HACL1; HAO2; KYAT3; AGXT2	297	189
0.000496321860203	0.010388961583	GO:0043574	b	4	peroxisomal transport	51179; 23600; 26061	HACL1; AMACR; HAO2	69	46
0.000563341770911	0.010388961583	GO:0006631	b	4	fatty acid metabolic process	337; 2938; 51179; 23600; 26061	APOA4; AMACR; HAO2; HACL1; GSTA1	387	208
0.000625688240222	0.00234633090083	GO:0016854	m	3	racemase and epimerase activity	63826; 23600	SRR; AMACR	18	11
0.000751273025305	0.010388961583	GO:0030258	b	4	lipid modification	337; 51179; 23600; 26061	APOA4; AMACR; HAO2; HACL1	269	124
0.000808435937617	0.0161687187523	GO:0019752	b	5	carboxylic acid metabolic process	337; 2938; 56267; 63826; 51179; 23600; 26061; 64902	HACL1; GSTA1; AGXT2; SRR; AMACR; APOA4; HAO2; KYAT3	1088	651
0.000886847985852	0.010388961583	GO:0007031	b	4	peroxisome organization	51179; 23600; 26061	HACL1; AMACR; HAO2	84	56
0.000934085525109	0.00840676972598	GO:0005200	m	2	structural constituent of cytoskeleton	286; 1674; 6708	SPTA1; ANK1; DES	103	57
0.00105568462725	0.010388961583	GO:0043436	b	4	oxoacid metabolic process	337; 2938; 56267; 63826; 51179; 23600; 26061; 64902	HACL1; GSTA1; AGXT2; SRR; AMACR; APOA4; HAO2; KYAT3	1179	677
0.00115432906478	0.010388961583	GO:0044242	b	4	cellular lipid catabolic process	337; 51179; 23600; 26061	APOA4; AMACR; HAO2; HACL1	239	139
0.00120081241378	0.0584890863553	GO:0006082	b	3	organic acid metabolic process	337; 2938; 56267; 63826; 51179; 23600; 26061; 64902	HACL1; GSTA1; AGXT2; SRR; AMACR; APOA4; HAO2; KYAT3	1199	690
0.00135111830337	0.0054044732135	GO:0008483	m	4	transaminase activity	56267; 64902	KYAT3; AGXT2	21	16
0.00143253440731	0.0286506881462	GO:0044438	c	3	microbody part	51179; 23600; 26061	HACL1; AMACR; HAO2	101	66
0.00143253440731	0.00716267203655	GO:0044439	c	4	peroxisomal part	51179; 23600; 26061	HACL1; AMACR; HAO2	101	66
0.00151144838604	0.0513892451255	GO:0044281	b	2	small molecule metabolic process	337; 94081; 2938; 56267; 51179; 63826; 55856; 23600; 26061; 64902	ACOT13; HACL1; GSTA1; AGXT2; SRR; AMACR; SFXN1; APOA4; HAO2; KYAT3	2157	1111
0.00171557996498	0.00514673989493	GO:0016769	m	3	transferase activity, transferring nitrogenous groups	56267; 64902	KYAT3; AGXT2	23	18
0.00176992309803	0.0136536924705	GO:0019395	b	4	fatty acid oxidation	51179; 23600; 26061	HACL1; AMACR; HAO2	105	71
0.00191767496247	0.0584890863553	GO:0034440	b	3	lipid oxidation	51179; 23600; 26061	HACL1; AMACR; HAO2	110	73
0.00259457893747	0.0175134078279	GO:0016042	b	4	lipid catabolic process	337; 51179; 23600; 26061	APOA4; AMACR; HAO2; HACL1	346	173
0.00277204036402	0.0277204036402	GO:0009062	b	5	fatty acid catabolic process	51179; 23600; 26061	HACL1; AMACR; HAO2	114	83
0.0039485499647	0.0236912997882	GO:0016853	m	2	isomerase activity	2938; 63826; 23600	SRR; AMACR; GSTA1	169	94
0.00431188344267	0.025871300656	GO:0016054	b	4	organic acid catabolic process	51179; 23600; 26061; 64902	HACL1; AMACR; HAO2; AGXT2	285	199
0.00431188344267	0.0287006310972	GO:0046395	b	5	carboxylic acid catabolic process	51179; 23600; 26061; 64902	HACL1; AMACR; HAO2; AGXT2	285	199
0.00531813878489	0.0212725551396	GO:0005509	m	5	calcium ion binding	26; 6708; 63826; 92291	AOC1; SPTA1; SRR; CAPN13	718	211
0.00539155978277	0.0242620190224	GO:0016829	m	2	lyase activity	56267; 63826; 26061	SRR; HACL1; KYAT3	194	105
0.00574012621943	0.0287006310972	GO:0009069	b	5	serine family amino acid metabolic process	63826; 64902	SRR; AGXT2	50	33
0.00629697807656	0.128038554223	GO:0009410	b	3	response to xenobiotic stimulus	26; 2938; 63826	AOC1; SRR; GSTA1	282	111
0.00918844934233	0.0481196162407	GO:0060359	b	4	response to ammonium ion	26; 63826	AOC1; SRR	127	42
0.0092458697531	0.140999513735	GO:0051186	b	3	cofactor metabolic process	337; 2938; 6708; 56267; 55856	APOA4; SPTA1; ACOT13; KYAT3; GSTA1	612	392
0.00961772238787	0.0346238005963	GO:0043167	m	2	ion binding	26; 337; 2938; 6708; 56267; 51179; 63826; 55856; 26061; 9616; 92291; 64902	AOC1; SRR; ACOT13; HACL1; CAPN13; GSTA1; AGXT2; SPTA1; APOA4; RNF7; HAO2; KYAT3	6337	1920
0.00966707970036	0.0380606077891	GO:0046394	b	5	carboxylic acid biosynthetic process	337; 63826; 23600; 64902	APOA4; SRR; AGXT2; AMACR	462	250
0.00980214404902	0.0481196162407	GO:0016053	b	4	organic acid biosynthetic process	337; 63826; 23600; 64902	APOA4; SRR; AGXT2; AMACR	463	251
