p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.96913350437e-23	3.99931944793e-21	GO:0062023	c	3	collagen-containing extracellular matrix	183; 563; 871; 1215; 1284; 1306; 1462; 1509; 2162; 2200; 2202; 2335; 3371; 3490; 3958; 4052; 4147; 4240; 4318; 5270; 5359; 5549; 6422; 7045; 7052; 7837; 10516; 10631; 30008	TGM2; MFGE8; VCAN; F13A1; AGT; SERPINE2; FBLN5; PRELP; MATN2; LTBP1; EFEMP1; EFEMP2; CTSD; FBN1; POSTN; CMA1; COL4A2; TNC; LGALS3; COL15A1; SFRP1; FN1; PLSCR1; AZGP1; MMP9; TGFBI; SERPINH1; PXDN; IGFBP7	426	185
6.91562029994e-22	3.80359116497e-20	GO:0031012	c	2	extracellular matrix	183; 563; 871; 1215; 1284; 1306; 1462; 1509; 2162; 2200; 2202; 2335; 3371; 3490; 3958; 4052; 4147; 4240; 4318; 5270; 5359; 5549; 6422; 7045; 7052; 7837; 10516; 10631; 30008	TGM2; MFGE8; VCAN; F13A1; AGT; SERPINE2; FBLN5; PRELP; MATN2; LTBP1; EFEMP1; EFEMP2; CTSD; FBN1; POSTN; CMA1; COL4A2; TNC; LGALS3; COL15A1; SFRP1; FN1; PLSCR1; AZGP1; MMP9; TGFBI; SERPINH1; PXDN; IGFBP7	566	201
3.82856438922e-18	1.22514060455e-16	GO:0005201	m	2	extracellular matrix structural constituent	1284; 1306; 1462; 2200; 2202; 2335; 3371; 3490; 4052; 4147; 4240; 5549; 7045; 7369; 7837; 10516; 10631; 30008	COL15A1; MATN2; LTBP1; FN1; EFEMP1; FBLN5; UMOD; VCAN; FBN1; POSTN; EFEMP2; COL4A2; TNC; TGFBI; MFGE8; PRELP; PXDN; IGFBP7	169	71
1.18521858379e-17	5.25051832617e-15	GO:0030198	b	4	extracellular matrix organization	183; 871; 1215; 1284; 1306; 1462; 2200; 2335; 3371; 3689; 3690; 3694; 3936; 4035; 4318; 7045; 7412; 7837; 10516; 10631; 79709; 30008	COLGALT1; VCAN; AGT; FBLN5; ITGB3; ITGB2; ITGB6; EFEMP2; FBN1; POSTN; CMA1; COL4A2; TNC; LCP1; COL15A1; LRP1; FN1; MMP9; TGFBI; SERPINH1; PXDN; VCAM1	393	135
5.28317990895e-17	1.25739681833e-14	GO:0043062	b	3	extracellular structure organization	183; 871; 1215; 1284; 1306; 1462; 2200; 2335; 3371; 3689; 3690; 3694; 3936; 4035; 4318; 4353; 7045; 7412; 7837; 10516; 10631; 79709; 30008	COLGALT1; VCAN; AGT; FBLN5; ITGB3; ITGB2; ITGB6; EFEMP2; FBN1; POSTN; CMA1; COL4A2; TNC; LCP1; COL15A1; LRP1; FN1; MPO; MMP9; TGFBI; SERPINH1; PXDN; VCAM1	454	163
4.24084947692e-14	4.02880700308e-12	GO:0007155	b	2	cell adhesion	207; 240; 563; 1306; 1462; 2200; 2335; 3071; 3371; 3490; 3689; 3690; 3694; 3958; 4035; 4240; 5105; 5270; 5788; 6422; 7045; 7052; 7369; 7412; 10516; 10631; 11151; 83706; 23166; 30008; 63916	TGM2; NCKAP1L; STAB1; MFGE8; VCAN; AKT1; PCK1; SERPINE2; FBLN5; ITGB3; ITGB2; ITGB6; ALOX5; UMOD; FBN1; POSTN; LRP1; EFEMP2; IGFBP7; TNC; LGALS3; COL15A1; SFRP1; FN1; FERMT3; AZGP1; CORO1A; PTPRC; TGFBI; ELMO2; VCAM1	1457	445
1.08474093325e-11	2.98303756643e-10	GO:0005615	c	2	extracellular space	183; 240; 563; 720; 730; 871; 929; 1215; 1284; 1306; 1410; 1462; 1509; 2162; 2182; 2200; 2202; 2335; 3071; 3371; 3490; 3689; 3690; 3936; 3958; 4240; 4318; 4353; 5105; 5270; 5359; 5549; 5788; 6422; 7045; 7052; 7369; 7412; 7837; 10516; 10631; 10970; 11151; 83706; 116496; 79887; 119587; 26002; 30008; 6320	TGM2; NCKAP1L; MFGE8; VCAN; PCK1; MOXD1; F13A1; FBLN5; AGT; NIBAN1; SERPINE2; CPXM2; C4A; VCAM1; PRELP; C7; ITGB3; ITGB2; PLBD1; FERMT3; EFEMP1; CRYAB; ALOX5; UMOD; CTSD; FBN1; POSTN; CMA1; EFEMP2; IGFBP7; TNC; LGALS3; LCP1; CLEC11A; COL15A1; SFRP1; FN1; PLSCR1; AZGP1; MPO; ACSL4; CD14; CORO1A; PTPRC; CKAP4; MMP9; TGFBI; SERPINH1; PXDN; COL4A2	3423	1431
4.5817949554e-11	2.17635260382e-09	GO:0006950	b	2	response to stress	183; 207; 240; 720; 730; 871; 929; 1215; 1410; 2162; 2335; 2983; 3371; 3490; 3689; 3690; 3694; 3936; 3958; 4035; 4131; 4171; 4172; 4318; 4353; 4360; 5105; 5270; 5359; 5788; 6422; 7052; 7369; 7412; 7837; 139818; 9332; 9770; 10516; 10631; 11151; 114757; 83706; 116496; 51473; 23166; 57333	TGM2; PCK1; STAB1; RASSF2; CRYAB; MAP1B; AKT1; CORO1A; F13A1; FBLN5; AGT; DOCK11; SERPINE2; MRC1; CYGB; FERMT3; NIBAN1; C4A; VCAM1; C7; ITGB3; ITGB2; RCN3; ITGB6; ALOX5; UMOD; POSTN; CMA1; SFRP1; MCM3; MCM2; TNC; LGALS3; LCP1; DCDC2; LRP1; FN1; PLSCR1; MPO; CD163; CD14; PTPRC; GUCY1B1; MMP9; SERPINH1; PXDN; IGFBP7	4192	1314
3.29257241861e-10	7.29304790722e-08	GO:0006954	b	4	inflammatory response	183; 207; 240; 720; 730; 929; 1215; 2335; 3689; 3694; 4035; 4318; 5359; 5788; 7052; 7369; 7412; 9332; 23166	TGM2; ITGB2; STAB1; FN1; ITGB6; ALOX5; PLSCR1; CMA1; UMOD; AKT1; CD14; LRP1; PTPRC; C4A; MMP9; AGT; C7; CD163; VCAM1	842	220
7.0939329092e-10	8.44178016195e-08	GO:0035295	b	3	tube development	183; 207; 240; 1215; 1284; 1306; 2335; 3371; 3689; 3690; 3694; 4035; 4240; 5270; 6422; 7045; 7052; 7369; 23166; 57333; 30008	COL15A1; ITGB3; ITGB2; STAB1; MFGE8; FN1; ITGB6; ALOX5; SFRP1; TGM2; UMOD; AKT1; CMA1; LRP1; RCN3; COL4A2; TNC; TGFBI; AGT; EFEMP2; SERPINE2	996	287
