p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.16359053475e-13	6.05067078072e-12	GO:0031012	c	2	extracellular matrix	12; 183; 563; 871; 1075; 1116; 1291; 1292; 1293; 1509; 1512; 2162; 2200; 3371; 3490; 3848; 3958; 4147; 4316; 5104; 5176; 5271; 6678; 7045; 7837; 1508; 54829; 30008	EFEMP2; KRT1; CHI3L1; F13A1; AGT; SERPINA3; SERPINA5; ASPN; SPARC; CTSH; MATN2; CTSB; CTSC; CTSD; FBN1; SERPINB8; SERPINF1; IGFBP7; TNC; TGFBI; LGALS3; COL6A3; AZGP1; COL6A1; MMP7; SERPINH1; COL6A2; PXDN	566	201
8.19468593543e-13	5.40849271738e-11	GO:0062023	c	3	collagen-containing extracellular matrix	12; 183; 563; 871; 1075; 1291; 1292; 1293; 1509; 1512; 2162; 2200; 3371; 3490; 3848; 3958; 4147; 5104; 5176; 5271; 6678; 7045; 7837; 1508; 54829; 30008	EFEMP2; KRT1; F13A1; AGT; SERPINA3; SERPINA5; ASPN; SPARC; CTSH; MATN2; CTSB; CTSC; CTSD; FBN1; SERPINB8; SERPINF1; IGFBP7; TNC; LGALS3; COL6A3; AZGP1; COL6A1; TGFBI; SERPINH1; COL6A2; PXDN	426	185
4.18772670487e-12	1.08880894327e-10	GO:0005615	c	2	extracellular space	12; 143; 183; 240; 306; 563; 718; 730; 871; 929; 983; 1075; 1116; 1291; 1292; 1293; 1356; 1368; 1401; 1410; 1474; 1509; 1512; 1823; 2162; 2182; 2200; 2289; 3071; 3371; 3490; 3684; 3689; 3690; 3848; 3849; 3858; 3885; 3934; 3936; 3958; 4057; 4316; 4353; 5104; 5105; 5176; 5271; 5641; 5696; 5788; 5880; 5950; 6424; 6678; 6696; 7045; 7412; 7837; 8635; 8972; 10970; 11151; 11240; 1508; 374454; 26509; 83706; 117159; 53405; 54829; 59338; 30008; 64926; 196374	CRP; NCKAP1L; CPM; EFEMP2; LCN2; MPO; CRYAB; ITGB3; RBP4; FKBP5; KRT1; PCK1; CHI3L1; F13A1; KRT77; AGT; RNASET2; MYOF; SERPINA3; SERPINA5; MGAM; KRT34; DSC1; SPARC; PSMB8; CKAP4; VCAM1; C3; SPP1; ASPN; CST6; CTSB; PLEKHA1; CTSH; ANXA3; ITGB2; RAC2; FERMT3; PARP4; ALOX5; CTSC; CTSD; FBN1; SERPINB8; PADI2; SERPINF1; IGFBP7; TNC; TGFBI; LGALS3; LCP1; CP; COL6A3; RASAL3; KRT78; SFRP4; LGMN; KRT2; AZGP1; C7; ACSL4; CDK1; CD14; CORO1A; PTPRC; ITGAM; KRT10; COL6A1; MMP7; SERPINH1; COL6A2; CLIC5; DCD; PXDN; LTF	3423	1431
1.02314178175e-11	1.08453028866e-09	GO:0006955	b	2	immune response	12; 199; 240; 306; 563; 718; 730; 929; 1075; 1116; 1401; 1509; 1512; 1536; 1823; 3071; 3115; 3684; 3689; 3694; 3848; 3934; 3936; 3958; 4057; 4353; 4360; 5105; 5641; 5696; 5788; 5880; 6772; 7412; 7837; 8635; 8876; 8942; 8972; 9404; 10892; 10970; 11151; 11240; 1508; 79888; 117159; 23526; 59338; 63916	CRP; NCKAP1L; LPXN; LCN2; KRT1; PCK1; CHI3L1; VNN1; RNASET2; ELMO2; PADI2; ARHGAP45; MRC1; SERPINA3; STAT1; DCD; MGAM; DSC1; LPCAT1; C3; CKAP4; C7; CTSB; MALT1; PLEKHA1; CTSH; HLA-DPB1; ANXA3; ITGB2; RAC2; ITGB6; ALOX5; CTSC; CTSD; CYBB; KYNU; LTF; LGALS3; LCP1; LGMN; AZGP1; MPO; CD14; CORO1A; PTPRC; ITGAM; PSMB8; AIF1; PXDN; VCAM1	2409	721
1.39472828978e-11	3.51471529024e-09	GO:0006952	b	3	defense response	12; 143; 183; 199; 240; 306; 718; 730; 929; 1075; 1116; 1401; 1536; 2687; 3115; 3684; 3689; 3694; 3848; 3934; 3958; 4057; 4353; 4360; 5176; 5641; 5696; 5788; 6696; 6772; 7412; 8635; 8876; 8942; 9332; 10892; 11151; 1508; 51473; 117159; 23166	CRP; STAB1; LCN2; VNN1; KRT1; CORO1A; CHI3L1; AGT; RNASET2; MRC1; SERPINA3; STAT1; DCD; C3; SPP1; C7; CTSB; MALT1; HLA-DPB1; ANXA3; ITGB2; ITGB6; PARP4; ALOX5; CTSC; CYBB; KYNU; SERPINF1; LTF; GGT5; LGALS3; DCDC2; LGMN; MPO; CD163; CD14; PTPRC; ITGAM; PSMB8; AIF1; VCAM1	1876	508
2.35813247635e-11	6.92301716237e-09	GO:0030198	b	4	extracellular matrix organization	183; 871; 1291; 1292; 1293; 2200; 3371; 3684; 3689; 3690; 3694; 3936; 4316; 6678; 6696; 7045; 7412; 7837; 79709; 60681; 30008	LCP1; ITGB3; COL6A2; FKBP10; ITGB6; EFEMP2; COLGALT1; FBN1; SPARC; ITGB2; SPP1; ITGAM; TNC; TGFBI; COL6A1; MMP7; SERPINH1; AGT; COL6A3; PXDN; VCAM1	393	135
2.90273256284e-11	6.92301716237e-09	GO:0002366	b	4	leukocyte activation involved in immune response	12; 240; 306; 718; 929; 1075; 1116; 1509; 1512; 1536; 1823; 3071; 3684; 3689; 3848; 3934; 3936; 3958; 4057; 4353; 5105; 5788; 5880; 8635; 8876; 8972; 10892; 10970; 11151; 11240; 1508; 79888; 23526	PCK1; LCN2; KRT1; NCKAP1L; CHI3L1; RNASET2; ARHGAP45; SERPINA3; MGAM; DSC1; LPCAT1; C3; CTSB; MALT1; CTSH; ANXA3; ITGB2; RAC2; ALOX5; CTSC; CTSD; CYBB; PADI2; LTF; LGALS3; LCP1; VNN1; MPO; CD14; CORO1A; PTPRC; ITGAM; CKAP4	723	346
3.68028637258e-11	4.63716082945e-09	GO:0002263	b	3	cell activation involved in immune response	12; 240; 306; 718; 929; 1075; 1116; 1509; 1512; 1536; 1823; 3071; 3684; 3689; 3848; 3934; 3936; 3958; 4057; 4353; 5105; 5788; 5880; 8635; 8876; 8972; 10892; 10970; 11151; 11240; 1508; 79888; 23526	PCK1; LCN2; KRT1; NCKAP1L; CHI3L1; RNASET2; ARHGAP45; SERPINA3; MGAM; DSC1; LPCAT1; C3; CTSB; MALT1; CTSH; ANXA3; ITGB2; RAC2; ALOX5; CTSC; CTSD; CYBB; PADI2; LTF; LGALS3; LCP1; VNN1; MPO; CD14; CORO1A; PTPRC; ITGAM; CKAP4	727	349
5.20210370755e-11	2.757114965e-09	GO:0001775	b	2	cell activation	12; 199; 240; 306; 718; 929; 1075; 1116; 1509; 1512; 1536; 1823; 3071; 3115; 3684; 3689; 3690; 3694; 3848; 3849; 3934; 3936; 3958; 4057; 4353; 5105; 5788; 5880; 7412; 8635; 8876; 8972; 10892; 10970; 11151; 11240; 1508; 79888; 83706; 23526; 64926	NCKAP1L; LCN2; ITGB3; KRT2; KRT1; PCK1; CHI3L1; RASAL3; RNASET2; ARHGAP45; SERPINA3; MGAM; DSC1; LPCAT1; C3; CTSB; MALT1; CTSH; HLA-DPB1; ANXA3; ITGB2; RAC2; ITGB6; ALOX5; CTSC; CTSD; CYBB; FERMT3; PADI2; LTF; LGALS3; LCP1; VNN1; MPO; CD14; CORO1A; PTPRC; ITGAM; AIF1; CKAP4; VCAM1	1477	529
6.9609126892e-11	5.84716665893e-09	GO:0002443	b	3	leukocyte mediated immunity	12; 240; 306; 563; 718; 730; 929; 1075; 1116; 1401; 1509; 1512; 1536; 1823; 3071; 3684; 3689; 3848; 3934; 3958; 4057; 4353; 5788; 5880; 8635; 8876; 8972; 10892; 10970; 11151; 11240; 1508; 79888; 23526	CRP; NCKAP1L; LCN2; KRT1; CORO1A; CHI3L1; RNASET2; ARHGAP45; SERPINA3; MGAM; DSC1; LPCAT1; C3; C7; CTSB; MALT1; CTSH; ANXA3; ITGB2; RAC2; ALOX5; CTSC; CTSD; CYBB; PADI2; LTF; LGALS3; VNN1; AZGP1; MPO; CD14; PTPRC; ITGAM; CKAP4	905	378
