p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.70829321304e-09	7.6695516383e-07	GO:0010273	b	3	detoxification of copper ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	16	6
9.70829321304e-09	9.51412734878e-07	GO:1990169	b	4	stress response to copper ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	16	6
4.4976525364e-08	1.66413143847e-06	GO:0061687	b	2	detoxification of inorganic compound	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	18	8
4.4976525364e-08	1.77657275188e-06	GO:0097501	b	3	stress response to metal ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	19	8
6.29259698233e-07	2.7058167024e-05	GO:0046688	b	5	response to copper ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	43	14
6.44085227103e-06	0.000138478323827	GO:0010043	b	5	response to zinc ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	58	24
2.40030736167e-05	0.000344044055173	GO:0046686	b	5	response to cadmium ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	62	33
0.000184643412565	0.00904752721567	GO:0008652	b	4	cellular amino acid biosynthetic process	587; 2346; 51733; 84680	UPB1; BCAT2; ACCS; FOLH1	88	55
0.000397203494075	0.0042699375613	GO:0071248	b	5	cellular response to metal ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	191	67
0.000643400527621	0.021017750569	GO:0071241	b	4	cellular response to inorganic substance	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	218	76
0.000806366919641	0.0129018707143	GO:0033218	m	2	amide binding	1200; 1215; 2346; 2348; 2948	TPP1; CMA1; GSTM4; FOLR1; FOLH1	397	142
0.000974239261545	0.0087681533539	GO:1900750	m	4	oligopeptide binding	2346; 2948	GSTM4; FOLH1	13	9
0.0012137831474	0.0141053687435	GO:0016846	m	3	carbon-sulfur lyase activity	2948; 84680	GSTM4; ACCS	16	10
0.0016384192408	0.0335456795682	GO:0055082	b	3	cellular chemical homeostasis	1215; 2495; 4493; 4495; 4500; 645745	MT1G; MT1L; CMA1; MT1HL1; MT1E; FTH1	806	248
0.00169851542118	0.0335456795682	GO:0070887	b	3	cellular response to chemical stimulus	231; 318; 1200; 1215; 2348; 2948; 4493; 4495; 4500; 645745; 10551; 340706; 255743	VWA2; NPNT; MT1HL1; TPP1; NUDT2; GSTM4; AGR2; MT1L; CMA1; MT1E; AKR1B1; MT1G; FOLR1	3189	1079
0.00223314712596	0.0141053687435	GO:0042277	m	3	peptide binding	1200; 1215; 2346; 2948	TPP1; CMA1; GSTM4; FOLH1	330	106
0.00244761495134	0.0210494885815	GO:0030003	b	5	cellular cation homeostasis	2495; 4493; 4495; 4500; 645745	MT1L; MT1E; FTH1; MT1G; MT1HL1	652	182
0.0025474128802	0.0152844772812	GO:0008238	m	5	exopeptidase activity	1200; 2346; 84735	TPP1; CNDP1; FOLH1	112	52
0.00262945770129	0.0683659002336	GO:0062023	c	3	collagen-containing extracellular matrix	1215; 8722; 340706; 341640; 255743	NPNT; FREM2; CMA1; VWA2; CTSF	426	185
0.00275606236315	0.0124022806342	GO:0070011	m	4	peptidase activity, acting on L-amino acid peptides	1200; 1215; 2346; 8722; 84735	TPP1; CMA1; CNDP1; CTSF; FOLH1	622	187
0.00288707276876	0.0647307596326	GO:0006873	b	4	cellular ion homeostasis	2495; 4493; 4495; 4500; 645745	MT1L; MT1E; FTH1; MT1G; MT1HL1	665	189
0.00302257901646	0.0141053687435	GO:0008233	m	3	peptidase activity	1200; 1215; 2346; 8722; 84735	TPP1; CMA1; CNDP1; CTSF; FOLH1	643	191
0.00330258977717	0.0647307596326	GO:0048878	b	4	chemical homeostasis	231; 1215; 2495; 4493; 4495; 4500; 645745	MT1G; MT1L; CMA1; MT1HL1; MT1E; AKR1B1; FTH1	1165	385
0.00377071362129	0.0980385541535	GO:0031012	c	2	extracellular matrix	1215; 8722; 340706; 341640; 255743	NPNT; FREM2; CMA1; VWA2; CTSF	566	201
0.00401790773909	0.0656258264051	GO:0045926	b	4	negative regulation of growth	4493; 4495; 4500	MT1L; MT1E; MT1G	238	61
0.00529240303094	0.0979094560723	GO:0019725	b	2	cellular homeostasis	1215; 2495; 4493; 4495; 4500; 645745	MT1G; MT1L; CMA1; MT1HL1; MT1E; FTH1	932	313
0.00544248470779	0.085991258383	GO:0010035	b	3	response to inorganic substance	231; 4493; 4495; 4500; 645745	MT1L; MT1E; AKR1B1; MT1G; MT1HL1	535	219
0.00612965089624	0.0183889526887	GO:0046872	m	4	metal ion binding	1200; 2346; 2495; 4493; 4495; 4500; 645745; 340706; 51733; 341640; 84735; 255743	NPNT; MT1G; TPP1; VWA2; MT1L; FREM2; MT1HL1; UPB1; MT1E; FTH1; CNDP1; FOLH1	4259	1085
0.00640036239106	0.0896050734748	GO:0010038	b	4	response to metal ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	354	142
0.00691689391992	0.0553351513593	GO:0043167	m	2	ion binding	318; 1200; 2346; 2348; 2495; 2948; 4493; 4495; 4500; 645745; 340706; 51733; 341640; 84680; 84735; 23305; 255743	VWA2; ACSL6; MT1G; TPP1; NUDT2; GSTM4; CNDP1; MT1L; FREM2; MT1HL1; NPNT; UPB1; MT1E; FTH1; FOLR1; ACCS; FOLH1	6337	1920
0.00760446790162	0.0266156376557	GO:0043169	m	3	cation binding	1200; 2346; 2495; 4493; 4495; 4500; 645745; 340706; 51733; 341640; 84735; 255743	NPNT; MT1G; TPP1; VWA2; MT1L; FREM2; MT1HL1; UPB1; MT1E; FTH1; CNDP1; FOLH1	4346	1113
0.00871143007774	0.0581717558068	GO:0050801	b	5	ion homeostasis	2495; 4493; 4495; 4500; 645745	MT1L; MT1E; FTH1; MT1G; MT1HL1	810	245
0.00946982071273	0.0581717558068	GO:0046394	b	5	carboxylic acid biosynthetic process	587; 2346; 2948; 51733; 84680	UPB1; GSTM4; BCAT2; ACCS; FOLH1	462	250
0.00962686634528	0.11792911273	GO:0016053	b	4	organic acid biosynthetic process	587; 2346; 2948; 51733; 84680	UPB1; GSTM4; BCAT2; ACCS; FOLH1	463	251
