p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
7.13028021533e-19	4.91989334858e-17	GO:0062023	c	3	collagen-containing extracellular matrix	2; 12; 183; 301; 337; 345; 348; 563; 1292; 1462; 1690; 1805; 2147; 2162; 2200; 2243; 2244; 2266; 3371; 3691; 3700; 3827; 3910; 5118; 5265; 5345; 5858; 10516; 10631; 127435	DPT; VCAN; APOC3; APOA4; F13A1; AGT; ITIH4; FBLN5; SERPINA1; SERPINA3; PZP; A2M; PCOLCE; FGG; FGA; FGB; COCH; ANXA1; LAMA4; ITGB4; PODN; FBN1; POSTN; APOE; TNC; SERPINF2; F2; AZGP1; KNG1; COL6A2	426	185
7.56847182471e-19	3.8599206306e-17	GO:0031012	c	2	extracellular matrix	2; 12; 183; 301; 337; 345; 348; 563; 1292; 1462; 1690; 1805; 2147; 2162; 2200; 2243; 2244; 2266; 2822; 3371; 3691; 3700; 3827; 3910; 5118; 5265; 5345; 5858; 10516; 10631; 127435	DPT; VCAN; GPLD1; APOC3; APOA4; F13A1; AGT; ITIH4; FBLN5; SERPINA1; SERPINA3; PZP; A2M; PCOLCE; FGG; FGA; FGB; COCH; ANXA1; LAMA4; ITGB4; PODN; FBN1; POSTN; APOE; TNC; SERPINF2; F2; AZGP1; KNG1; COL6A2	566	201
6.50698871139e-17	1.6592821214e-15	GO:0072562	c	2	blood microparticle	2; 12; 183; 337; 348; 629; 718; 720; 1356; 2147; 2162; 2243; 2244; 2266; 3240; 3700; 3827; 5345; 5858; 7018	FGG; F2; SERPINA3; ITIH4; HP; KNG1; CFB; PZP; FGA; C3; APOE; C4A; TF; SERPINF2; APOA4; F13A1; CP; AGT; A2M; FGB	148	77
3.71920794023e-16	6.3226534984e-15	GO:0005615	c	2	extracellular space	2; 12; 183; 301; 337; 338; 345; 348; 383; 563; 629; 718; 720; 727; 730; 1292; 1356; 1462; 1474; 1475; 1674; 1805; 2147; 2162; 2168; 2194; 2200; 2243; 2244; 2266; 2810; 2822; 3240; 3371; 3691; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3866; 3880; 3881; 3884; 3910; 3936; 4057; 4162; 4353; 5118; 5169; 5265; 5339; 5345; 5630; 5788; 5836; 5858; 5968; 6653; 7018; 10516; 10631; 10970; 11151; 26509; 83706; 117159; 55020; 127435	FERMT3; DPT; MYOF; KRT31; HP; DES; VCAN; KRT2; GPLD1; KRT7; APOC3; TF; FABP1; APOA4; F13A1; ITIH3; AGT; A2M; FBLN5; SORL1; SERPINA1; SERPINA3; APOB; REG1B; KRT33B; DCD; PZP; ITIH4; FASN; C4A; C7; C3; CKAP4; FGG; CST6; FGA; C5; ANXA1; LAMA4; ITGB4; KLKB1; PODN; CSTA; ENPP3; MCAM; FBN1; PCOLCE; APOE; PLEC; LTF; TNC; SERPINF2; LCP1; CP; F2; TTC38; POSTN; AZGP1; ARG1; KNG1; CFB; PRPH; SFN; KRT15; CORO1A; PTPRC; FGB; KRT10; MPO; COL6A2; KRT19; PYGL	3423	1431
3.78813029662e-14	8.86422489408e-12	GO:0043062	b	3	extracellular structure organization	2; 183; 337; 338; 345; 348; 1292; 1462; 1805; 2200; 2243; 2244; 2266; 3371; 3679; 3691; 3694; 3818; 3910; 3936; 4353; 5345; 10516; 10631	DPT; VCAN; ITGA7; APOC3; APOA4; AGT; A2M; FBLN5; APOE; APOB; FGG; FGA; FGB; LAMA4; ITGB4; KLKB1; ITGB6; FBN1; POSTN; TNC; SERPINF2; LCP1; MPO; COL6A2	454	163
1.4991942808e-12	8.99516568482e-11	GO:0070062	c	4	extracellular exosome	2; 12; 183; 301; 337; 338; 345; 348; 563; 629; 718; 720; 727; 730; 1292; 1356; 1474; 1674; 2147; 2168; 2194; 2243; 2244; 2266; 2810; 2822; 3240; 3691; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3866; 3880; 3881; 3884; 3910; 3936; 4057; 4353; 5118; 5169; 5265; 5339; 5345; 5630; 5788; 5836; 5858; 5968; 6653; 7018; 10516; 10970; 11151; 26509; 83706; 117159; 55020	MYOF; KRT31; HP; DES; KRT2; GPLD1; KRT7; APOC3; TF; FABP1; APOA4; ITIH3; AGT; A2M; FBLN5; SORL1; SERPINA1; SERPINA3; APOB; REG1B; KRT33B; DCD; PZP; ITIH4; FASN; C4A; C3; CKAP4; FGG; CST6; FGA; C5; ANXA1; LAMA4; ITGB4; KLKB1; ENPP3; PCOLCE; APOE; PLEC; LTF; SERPINF2; LCP1; CP; F2; TTC38; FERMT3; AZGP1; C7; KNG1; CFB; PRPH; SFN; KRT15; CORO1A; PTPRC; FGB; KRT10; MPO; COL6A2; KRT19; PYGL	2146	1258
1.74637088739e-12	6.02497956149e-11	GO:1903561	c	3	extracellular vesicle	2; 12; 183; 301; 337; 338; 345; 348; 563; 629; 718; 720; 727; 730; 1292; 1356; 1474; 1674; 2147; 2168; 2194; 2243; 2244; 2266; 2810; 2822; 3240; 3691; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3866; 3880; 3881; 3884; 3910; 3936; 4057; 4353; 5118; 5169; 5265; 5339; 5345; 5630; 5788; 5836; 5858; 5968; 6653; 7018; 10516; 10970; 11151; 26509; 83706; 117159; 55020	MYOF; KRT31; HP; DES; KRT2; GPLD1; KRT7; APOC3; TF; FABP1; APOA4; ITIH3; AGT; A2M; FBLN5; SORL1; SERPINA1; SERPINA3; APOB; REG1B; KRT33B; DCD; PZP; ITIH4; FASN; C4A; C3; CKAP4; FGG; CST6; FGA; C5; ANXA1; LAMA4; ITGB4; KLKB1; ENPP3; PCOLCE; APOE; PLEC; LTF; SERPINF2; LCP1; CP; F2; TTC38; FERMT3; AZGP1; C7; KNG1; CFB; PRPH; SFN; KRT15; CORO1A; PTPRC; FGB; KRT10; MPO; COL6A2; KRT19; PYGL	2167	1262
1.81408700612e-12	2.3129609328e-11	GO:0043230	c	2	extracellular organelle	2; 12; 183; 301; 337; 338; 345; 348; 563; 629; 718; 720; 727; 730; 1292; 1356; 1474; 1674; 2147; 2168; 2194; 2243; 2244; 2266; 2810; 2822; 3240; 3691; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3866; 3880; 3881; 3884; 3910; 3936; 4057; 4353; 5118; 5169; 5265; 5339; 5345; 5630; 5788; 5836; 5858; 5968; 6653; 7018; 10516; 10970; 11151; 26509; 83706; 117159; 55020	MYOF; KRT31; HP; DES; KRT2; GPLD1; KRT7; APOC3; TF; FABP1; APOA4; ITIH3; AGT; A2M; FBLN5; SORL1; SERPINA1; SERPINA3; APOB; REG1B; KRT33B; DCD; PZP; ITIH4; FASN; C4A; C3; CKAP4; FGG; CST6; FGA; C5; ANXA1; LAMA4; ITGB4; KLKB1; ENPP3; PCOLCE; APOE; PLEC; LTF; SERPINF2; LCP1; CP; F2; TTC38; FERMT3; AZGP1; C7; KNG1; CFB; PRPH; SFN; KRT15; CORO1A; PTPRC; FGB; KRT10; MPO; COL6A2; KRT19; PYGL	2169	1263
9.68938885367e-12	3.1587407663e-09	GO:0002526	b	5	acute inflammatory response	2; 12; 629; 718; 720; 727; 730; 2147; 3240; 3700; 3818; 5265; 5345; 9332	SERPINA1; F2; SERPINA3; KLKB1; HP; CFB; ITIH4; CD163; C4A; SERPINF2; C3; C7; A2M; C5	224	57
1.76008021768e-11	7.56834493603e-10	GO:0030414	m	4	peptidase inhibitor activity	2; 12; 183; 718; 720; 727; 1474; 1475; 3699; 3700; 3827; 4057; 5265; 5345; 5858	SERPINA1; SERPINA3; CSTA; PZP; ITIH4; KNG1; C4A; SERPINF2; C3; ITIH3; AGT; CST6; A2M; C5; LTF	190	71
1.76008021768e-11	2.81612834829e-10	GO:0004866	m	5	endopeptidase inhibitor activity	2; 12; 183; 718; 720; 727; 1474; 1475; 3699; 3700; 3827; 4057; 5265; 5345; 5858	SERPINA1; SERPINA3; CSTA; PZP; ITIH4; KNG1; C4A; SERPINF2; C3; ITIH3; AGT; CST6; A2M; C5; LTF	183	71
5.28384708392e-11	5.38952402559e-10	GO:0009986	c	2	cell surface	301; 337; 563; 718; 2147; 2243; 2244; 2266; 3679; 3691; 3694; 3851; 3858; 4057; 4162; 4360; 5169; 5345; 5788; 6653; 7018; 8639; 9332	AOC3; ITGA7; KRT4; APOA4; SORL1; MRC1; C3; FGG; FGA; FGB; ANXA1; ITGB4; ITGB6; ENPP3; MCAM; TF; LTF; SERPINF2; F2; AZGP1; CD163; PTPRC; KRT10	895	206
5.3238849892e-11	6.22894543737e-09	GO:0006952	b	3	defense response	2; 12; 183; 301; 337; 338; 348; 383; 629; 718; 720; 727; 730; 1690; 2147; 2243; 2244; 2266; 3240; 3694; 3700; 3818; 3827; 4057; 4353; 4360; 5169; 5265; 5345; 5788; 7018; 8639; 9332; 11151; 117159; 201294	AOC3; HP; CORO1A; APOA4; AGT; ITIH4; MRC1; SERPINA3; APOB; DCD; A2M; C4A; C3; FGG; C7; FGA; FGB; COCH; ANXA1; KLKB1; ITGB6; ENPP3; TF; UNC13D; APOE; LTF; SERPINF2; SERPINA1; F2; ARG1; CD163; KNG1; CFB; PTPRC; C5; MPO	1876	508
5.51078489996e-11	2.38616986168e-08	GO:0030198	b	4	extracellular matrix organization	2; 183; 1292; 1462; 1805; 2200; 2243; 2244; 2266; 3371; 3679; 3691; 3694; 3818; 3910; 3936; 5345; 10516; 10631	FGA; FGG; DPT; LAMA4; ITGB4; KLKB1; ITGB6; VCAN; FBN1; POSTN; ITGA7; FBLN5; TNC; SERPINF2; LCP1; AGT; A2M; FGB; COL6A2	393	135
6.08801300933e-11	1.30892279701e-09	GO:0061135	m	4	endopeptidase regulator activity	2; 12; 183; 718; 720; 727; 1474; 1475; 3699; 3700; 3827; 4057; 5265; 5345; 5858	SERPINA1; SERPINA3; CSTA; PZP; ITIH4; KNG1; C4A; SERPINF2; C3; ITIH3; AGT; CST6; A2M; C5; LTF	195	77
6.82027602653e-11	3.61474629406e-09	GO:0061134	m	3	peptidase regulator activity	2; 12; 183; 718; 720; 727; 1474; 1475; 3699; 3700; 3827; 4057; 5118; 5265; 5345; 5858	SERPINA1; SERPINA3; CSTA; PZP; ITIH4; PCOLCE; KNG1; C4A; SERPINF2; C3; ITIH3; AGT; CST6; A2M; C5; LTF	233	91
7.41087515134e-11	7.1885488968e-09	GO:0072376	b	2	protein activation cascade	2; 629; 718; 720; 727; 730; 2147; 2162; 2243; 2244; 2266; 3818; 3827	F2; FGG; KLKB1; KNG1; CFB; FGA; C4A; C3; F13A1; FGB; C7; A2M; C5	219	54
2.04454516744e-10	4.4264402875e-08	GO:0006954	b	4	inflammatory response	2; 12; 183; 301; 348; 629; 718; 720; 727; 730; 2147; 3240; 3694; 3700; 3818; 3827; 5169; 5265; 5345; 5788; 8639; 9332; 201294	AOC3; HP; AGT; ITIH4; SERPINA1; SERPINA3; A2M; C4A; C3; C7; C5; ANXA1; KLKB1; ITGB6; ENPP3; UNC13D; APOE; SERPINF2; F2; CD163; KNG1; CFB; PTPRC	842	220
3.47792710808e-10	2.7127831443e-08	GO:0006959	b	3	humoral immune response	2; 629; 718; 720; 727; 730; 2147; 2243; 2244; 4057; 5788; 5968; 7018; 117159	F2; REG1B; DCD; CFB; FGA; TF; PTPRC; C4A; C3; FGB; C7; A2M; C5; LTF	402	73
4.83759932917e-10	2.82999560756e-08	GO:0072378	b	3	blood coagulation, fibrin clot formation	2; 2147; 2162; 2243; 2244; 2266; 3818; 3827	F2; KLKB1; KNG1; FGA; F13A1; FGG; A2M; FGB	28	16
5.20602986425e-10	1.56180895927e-08	GO:0060205	c	4	cytoplasmic vesicle lumen	2; 12; 338; 348; 383; 718; 2162; 2243; 2244; 2266; 3240; 3699; 3700; 3827; 4057; 4353; 5265; 5345; 5836; 7018; 83706; 201294	HP; F13A1; ITIH3; ITIH4; SERPINA1; SERPINA3; APOB; A2M; TF; FGG; PYGL; FGA; FGB; C3; FERMT3; UNC13D; APOE; LTF; SERPINF2; ARG1; KNG1; MPO	340	210
5.51492258982e-10	2.67473745606e-08	GO:0009605	b	2	response to external stimulus	2; 32; 183; 301; 338; 348; 383; 629; 718; 720; 727; 730; 761; 1373; 1690; 1890; 2147; 2243; 2244; 2266; 3240; 3371; 3694; 3818; 3827; 4057; 4353; 4360; 5169; 5345; 5788; 5836; 5968; 6653; 6708; 7018; 10631; 11151; 83481; 117159; 201294	HP; SPTA1; CORO1A; AGT; A2M; SORL1; MRC1; APOE; APOB; REG1B; DCD; ITGB6; EPPK1; C4A; C3; FGG; C7; FGA; FGB; COCH; ANXA1; KLKB1; ACACB; ENPP3; TF; UNC13D; LTF; TNC; SERPINF2; F2; POSTN; CA3; ARG1; KNG1; CFB; TYMP; PTPRC; C5; MPO; CPS1; PYGL	2572	697
5.71100940003e-10	1.31353216201e-08	GO:0031983	c	3	vesicle lumen	2; 12; 338; 348; 383; 718; 2162; 2243; 2244; 2266; 3240; 3699; 3700; 3827; 4057; 4353; 5265; 5345; 5836; 7018; 83706; 201294	HP; F13A1; ITIH3; ITIH4; SERPINA1; SERPINA3; APOB; A2M; TF; FGG; PYGL; FGA; FGB; C3; FERMT3; UNC13D; APOE; LTF; SERPINF2; ARG1; KNG1; MPO	341	211
9.71108932269e-10	2.57343867051e-08	GO:0004857	m	3	enzyme inhibitor activity	2; 12; 183; 301; 345; 718; 720; 727; 1474; 1475; 2810; 3699; 3700; 3827; 4057; 5265; 5345; 5858	ANXA1; SERPINA1; SERPINA3; LTF; CSTA; PZP; ITIH4; SFN; KNG1; APOC3; SERPINF2; C3; ITIH3; AGT; CST6; A2M; C5; C4A	389	141
1.03164716198e-09	1.68158487402e-07	GO:0051346	b	5	negative regulation of hydrolase activity	2; 12; 183; 301; 345; 718; 720; 727; 1474; 1475; 2168; 2810; 3699; 3700; 3827; 4057; 5265; 5345; 5858; 6653	ANXA1; SERPINA1; SERPINF2; SERPINA3; LTF; CSTA; PZP; ITIH4; SFN; KNG1; APOC3; FABP1; C3; SORL1; ITIH3; AGT; CST6; A2M; C5; C4A	447	178
1.09927524424e-09	1.89624979631e-08	GO:0031982	c	3	vesicle	2; 12; 183; 301; 337; 338; 345; 348; 383; 563; 629; 718; 720; 727; 730; 1292; 1356; 1474; 1674; 2147; 2162; 2168; 2194; 2243; 2244; 2266; 2810; 2822; 3240; 3691; 3699; 3700; 3818; 3827; 3849; 3855; 3858; 3866; 3880; 3881; 3884; 3910; 3936; 4057; 4126; 4353; 4360; 5118; 5169; 5265; 5339; 5345; 5630; 5788; 5836; 5858; 5968; 6653; 7018; 8630; 8639; 9332; 10516; 10970; 11151; 26509; 83706; 117159; 55020; 201294	AOC3; MYOF; KRT31; HP; DES; HSD17B6; KRT2; GPLD1; KRT7; APOC3; TF; FABP1; APOA4; F13A1; ITIH3; AGT; A2M; FBLN5; SORL1; MRC1; SERPINA3; APOB; REG1B; KRT33B; DCD; PZP; ITIH4; FASN; C4A; C7; C3; CKAP4; FGG; CST6; FGA; C5; ANXA1; LAMA4; ITGB4; KLKB1; SERPINA1; ENPP3; PCOLCE; UNC13D; APOE; PLEC; LTF; SERPINF2; LCP1; CP; F2; TTC38; MANBA; FERMT3; AZGP1; ARG1; CD163; KNG1; CFB; PRPH; SFN; KRT15; CORO1A; PTPRC; FGB; KRT10; MPO; COL6A2; KRT19; PYGL	3959	1780
2.2289030894e-09	4.68069648775e-08	GO:0005882	c	5	intermediate filament	1674; 3849; 3851; 3855; 3858; 3866; 3880; 3881; 3884; 5339; 5630; 83481	KRT4; KRT31; KRT33B; DES; PRPH; EPPK1; KRT2; KRT15; KRT7; KRT10; PLEC; KRT19	220	57
2.84622462777e-09	8.82329634609e-08	GO:0005201	m	2	extracellular matrix structural constituent	1292; 1462; 1805; 2200; 2243; 2244; 2266; 3371; 3910; 5118; 10516; 10631; 127435	FGG; DPT; LAMA4; PODN; VCAN; FBN1; POSTN; FBLN5; TNC; PCOLCE; COL6A2; FGA; FGB	169	71
3.07562346509e-09	4.43914986795e-07	GO:0043086	b	4	negative regulation of catalytic activity	2; 12; 32; 183; 301; 345; 348; 718; 720; 727; 1474; 1475; 2168; 2810; 3240; 3699; 3700; 3827; 4057; 5265; 5345; 5788; 5858; 6653; 8639	AOC3; HP; APOC3; FABP1; ITIH3; AGT; ITIH4; SORL1; SERPINA1; SERPINA3; PZP; A2M; C4A; C3; CST6; C5; ANXA1; ACACB; CSTA; APOE; LTF; SERPINF2; KNG1; SFN; PTPRC	791	297
4.39985124137e-09	4.76283896879e-07	GO:1900047	b	4	negative regulation of hemostasis	348; 2147; 2243; 2244; 2266; 3818; 3827; 5345	F2; APOE; KLKB1; KNG1; SERPINF2; FGG; FGA; FGB	49	20
