p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.53882700193e-07	3.37663991257e-05	GO:0010273	b	3	detoxification of copper ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	16	6
2.53882700193e-07	5.15381881392e-05	GO:1990169	b	4	stress response to copper ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	16	6
1.16413301512e-06	7.7996912013e-05	GO:0061687	b	2	detoxification of inorganic compound	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	18	8
1.16413301512e-06	7.74148455054e-05	GO:0097501	b	3	stress response to metal ion	4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; MT1HL1	19	8
1.60307832894e-06	0.000108027410957	GO:0006820	b	5	anion transport	368; 771; 1579; 2348; 6520; 6569; 10861; 10864; 11001; 133418; 53405; 54677; 255189	CLIC5; CYP4A11; EMB; SLC3A2; CROT; CA12; PLA2G4F; SLC34A1; SLC26A1; SLC22A7; ABCC6; FOLR1; SLC27A2	657	229
1.7565432676e-06	0.000108027410957	GO:0046686	b	5	response to cadmium ion	210; 4493; 4495; 4500; 6569; 645745	SLC34A1; MT1HL1; ALAD; MT1L; MT1E; MT1G	62	33
6.75770363235e-06	0.000240527521289	GO:0010043	b	5	response to zinc ion	210; 4493; 4495; 4500; 645745	MT1L; MT1E; MT1G; ALAD; MT1HL1	58	24
7.82203321264e-06	0.000240527521289	GO:0015711	b	5	organic anion transport	368; 771; 1579; 2348; 6520; 10861; 10864; 11001; 133418; 54677; 255189	CYP4A11; EMB; SLC3A2; CROT; CA12; PLA2G4F; SLC26A1; SLC22A7; ABCC6; FOLR1; SLC27A2	505	186
1.07621572726e-05	0.000264749068906	GO:0071248	b	5	cellular response to metal ion	210; 4493; 4495; 4500; 5641; 6569; 645745	SLC34A1; MT1HL1; ALAD; LGMN; MT1L; MT1E; MT1G	191	67
1.20560604738e-05	0.000403878025871	GO:0044281	b	2	small molecule metabolic process	30; 771; 205; 1428; 1579; 2346; 2348; 2593; 2948; 3033; 55526; 5641; 5950; 6569; 8528; 8942; 10861; 11001; 79814; 80896; 113675; 81888; 53354; 54677; 26061; 255189; 64080; 130589	GAMT; HACL1; HYI; CROT; DHTKD1; RBKS; GALM; PANK1; KYNU; SLC34A1; ACAA1; FOLH1; HADH; CA12; SLC26A1; RBP4; AGMAT; SDSL; PLA2G4F; SLC27A2; NPL; CYP4A11; LGMN; CRYM; GSTM4; AK4; DDO; FOLR1	2157	1111
