p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.03048514297e-35	1.96981534293e-33	GO:0031012	c	2	extracellular matrix	2; 301; 325; 335; 348; 462; 633; 713; 1012; 1215; 1370; 1462; 1634; 1690; 1805; 1893; 2147; 2162; 2244; 2266; 2335; 2822; 3273; 3371; 3483; 3697; 3698; 3700; 3827; 3897; 3908; 3910; 3913; 3956; 4060; 4239; 4240; 4969; 5549; 5858; 6275; 6280; 6422; 7052; 7123; 10418; 10516; 10631; 7373; 25890; 127435; 64129	CDH13; DPT; LUM; MFGE8; TINAGL1; VCAN; TGM2; BGN; SPON1; GPLD1; L1CAM; ITIH1; F13A1; ITIH2; APOA1; FBLN5; DCN; PODN; APOE; SERPINC1; CLEC3B; PZP; A2M; OGN; S100A9; APCS; PRELP; FGG; LGALS1; FGB; COCH; ANXA1; LAMA2; ITIH4; LAMA4; POSTN; CMA1; ECM1; TNC; S100A4; LAMB2; HRG; F2; SFRP1; FN1; ABI3BP; KNG1; COL14A1; C1QB; IGFALS; MFAP4; CPN2	566	201
1.27098630571e-33	9.91369318452e-32	GO:0062023	c	3	collagen-containing extracellular matrix	2; 301; 325; 335; 348; 462; 633; 713; 1012; 1215; 1462; 1634; 1690; 1805; 1893; 2147; 2162; 2244; 2266; 2335; 3273; 3371; 3697; 3698; 3700; 3827; 3897; 3908; 3910; 3913; 3956; 4060; 4239; 4240; 4969; 5549; 5858; 6275; 6280; 6422; 7052; 7123; 7373; 10418; 10516; 10631; 25890; 127435; 64129	CDH13; DPT; LUM; MFGE8; TINAGL1; VCAN; TGM2; BGN; SPON1; MFAP4; L1CAM; ITIH1; F13A1; ITIH2; APOA1; FBLN5; DCN; PODN; APOE; SERPINC1; CLEC3B; PZP; A2M; S100A9; APCS; PRELP; FGG; LGALS1; FGB; COCH; ANXA1; LAMA2; ITIH4; LAMA4; POSTN; CMA1; ECM1; TNC; S100A4; LAMB2; HRG; F2; SFRP1; FN1; KNG1; COL14A1; C1QB; ABI3BP; OGN	426	185
3.37893401827e-24	1.09815355594e-22	GO:0005615	c	2	extracellular space	2; 59; 173; 231; 301; 312; 325; 335; 338; 348; 383; 462; 629; 633; 713; 718; 720; 722; 790; 1012; 1215; 1356; 1370; 1462; 1634; 1674; 1805; 1893; 2027; 2125; 2147; 2162; 2194; 2244; 2266; 2316; 2335; 2810; 2822; 2990; 3053; 3240; 3273; 3371; 3483; 3488; 3507; 3542; 3697; 3698; 3699; 3700; 3818; 3827; 3855; 3910; 3913; 3956; 3963; 4060; 4070; 4162; 4239; 4240; 4629; 4969; 5214; 5360; 5549; 5630; 5648; 5742; 5836; 5858; 5874; 6275; 6280; 6318; 6422; 6521; 6653; 6768; 6906; 7018; 7052; 7070; 7123; 10409; 10418; 10516; 10631; 10747; 10970; 7373; 26509; 83706; 116496; 85477; 3426; 30846; 54504; 25890; 152007; 28423; 127435; 64129	PTGS1; MFGE8; TGM2; BGN; MFAP4; AKR1B1; FBLN5; DCN; SERPINC1; PZP; THY1; FGG; PYGL; FGB; GUSB; TINAGL1; POSTN; HRG; SERPINB4; RAB27B; FN1; MASP1; PRPH; SFN; PLTP; SLC4A1; ACTA2; HP; DES; C1QB; ST14; GPLD1; MASP2; LAMB2; APOA1; APOE; APOB; C4BPA; A2M; C4A; TACSTD2; ANXA13; AFM; LAMA4; CMA1; IGFBP5; EVPL; SERPIND1; ARG1; FLNA; MYH11; EHD2; IGHV3-49; IGLC6; KRT7; ITIH1; ITIH3; ITIH2; LUM; SORL1; PODN; S100A9; C3; FASN; PRELP; ITIH4; MCAM; FERMT3; ENO3; S100A4; ABI3BP; LGALS1; CP; LGALS7; F2; SFRP1; KNG1; IGFALS; BASP1; CPN2; CDH13; DPT; COL14A1; VCAN; ECM1; F13A1; MYOF; CAD; NIBAN1; SERPINA7; CLEC3B; PFKP; TF; APCS; ANXA1; SPON1; GLIPR2; KLKB1; TNC; IGHM; CPVL; CFI; CFB; OGN; CKAP4; SCIN	3423	1431
2.45310408577e-23	5.3150588525e-22	GO:0072562	c	2	blood microparticle	2; 173; 325; 335; 348; 462; 629; 713; 718; 720; 722; 1356; 1370; 2147; 2162; 2244; 2266; 2335; 3240; 3273; 3507; 3697; 3698; 3700; 3827; 5858; 6521; 7018	HP; SLC4A1; ITIH1; F13A1; ITIH2; A2M; APOE; SERPINC1; C4BPA; PZP; APOA1; C4A; C3; APCS; FGG; FGB; AFM; ITIH4; TF; HRG; CP; IGHM; F2; FN1; KNG1; CFB; C1QB; CPN2	148	77
3.71319817459e-21	4.0473860103e-19	GO:0072376	b	2	protein activation cascade	2; 325; 462; 629; 713; 718; 720; 722; 1370; 2147; 2162; 2244; 2266; 2335; 3507; 3542; 3818; 3827; 4239; 5648; 10747; 3426; 28423	MASP1; IGLC6; MFAP4; F13A1; A2M; SERPINC1; C4BPA; C4A; C3; APCS; FGG; FGB; KLKB1; IGHV3-49; IGHM; F2; FN1; CFI; KNG1; CFB; C1QB; MASP2; CPN2	219	54
3.25708271232e-19	1.07483729507e-17	GO:0005201	m	2	extracellular matrix structural constituent	633; 1462; 1634; 1805; 1893; 2244; 2266; 2335; 3371; 3908; 3910; 3913; 4060; 4239; 4240; 4969; 5549; 10418; 10516; 10631; 7373; 25890; 127435; 64129	DPT; MFGE8; TINAGL1; VCAN; SPON1; ECM1; MFAP4; LAMB2; LUM; FBLN5; DCN; PODN; PRELP; FGG; FGB; LAMA2; LAMA4; POSTN; BGN; TNC; ABI3BP; FN1; COL14A1; OGN	169	71
3.72418198368e-14	6.22528623364e-12	GO:0006959	b	3	humoral immune response	2; 325; 629; 713; 718; 720; 722; 1370; 2147; 2244; 3273; 3507; 3542; 4239; 5648; 6280; 7018; 10747; 3426; 28423	F2; MASP1; CFI; C4BPA; IGHV3-49; CFB; C1QB; MASP2; IGHM; TF; IGLC6; MFAP4; S100A9; C4A; CPN2; C3; APCS; HRG; A2M; FGB	402	73
4.5110769809e-14	6.22528623364e-12	GO:0006956	b	3	complement activation	2; 325; 629; 713; 718; 720; 722; 1370; 2147; 3507; 3542; 4239; 5648; 10747; 3426; 28423	F2; MASP1; CFI; C4BPA; IGHV3-49; CFB; C1QB; MASP2; IGHM; IGLC6; MFAP4; C4A; CPN2; C3; APCS; A2M	195	42
1.00932986334e-13	8.17557189302e-12	GO:0070062	c	4	extracellular exosome	2; 59; 173; 231; 301; 312; 325; 335; 338; 348; 462; 629; 633; 718; 720; 790; 1012; 1356; 1370; 1674; 1893; 2027; 2125; 2147; 2194; 2244; 2266; 2316; 2335; 2810; 2822; 2990; 3053; 3240; 3273; 3483; 3507; 3697; 3698; 3699; 3700; 3818; 3827; 3855; 3910; 3913; 3956; 3963; 4060; 4070; 4240; 4629; 4969; 5214; 5549; 5630; 5742; 5836; 5858; 5874; 6275; 6280; 6422; 6521; 6653; 6906; 7018; 7052; 7070; 7123; 10409; 10516; 10747; 10970; 26509; 83706; 116496; 85477; 3426; 54504; 152007; 30846; 64129	ACTA2; MYH11; CDH13; LUM; EHD2; MFGE8; MYOF; S100A9; HP; DES; PTGS1; BGN; TGM2; GPLD1; KRT7; PRPH; TF; ITIH1; LAMA4; ITIH3; ITIH2; APOA1; FBLN5; CAD; SORL1; APOE; APOB; SLC4A1; SERPINC1; CLEC3B; PZP; CFI; A2M; GLIPR2; FASN; C4A; C3; APCS; ANXA13; FGG; LGALS1; S100A4; FGB; GUSB; ANXA1; AFM; TINAGL1; ITIH4; KLKB1; RAB27B; LAMB2; PRELP; TACSTD2; ENO3; THY1; ECM1; FLNA; EVPL; AKR1B1; CP; LGALS7; IGHM; SERPIND1; CPVL; NIBAN1; F2; SFRP1; HRG; PFKP; FN1; FERMT3; PYGL; KNG1; CFB; IGFALS; SFN; BASP1; OGN; CPN2; SCIN; SERPINA7; CKAP4; MASP2	2146	1258
1.22431491891e-13	4.77482818373e-12	GO:1903561	c	3	extracellular vesicle	2; 59; 173; 231; 301; 312; 325; 335; 338; 348; 462; 629; 633; 718; 720; 790; 1012; 1356; 1370; 1674; 1893; 2027; 2125; 2147; 2194; 2244; 2266; 2316; 2335; 2810; 2822; 2990; 3053; 3240; 3273; 3483; 3507; 3697; 3698; 3699; 3700; 3818; 3827; 3855; 3910; 3913; 3956; 3963; 4060; 4070; 4240; 4629; 4969; 5214; 5549; 5630; 5742; 5836; 5858; 5874; 6275; 6280; 6422; 6521; 6653; 6906; 7018; 7052; 7070; 7123; 10409; 10516; 10747; 10970; 26509; 83706; 116496; 85477; 3426; 30846; 54504; 152007; 64129	ACTA2; MYH11; CDH13; LUM; EHD2; MFGE8; MYOF; S100A9; HP; DES; PTGS1; BGN; TGM2; GPLD1; KRT7; PRPH; TF; ITIH1; LAMA4; ITIH3; ITIH2; APOA1; FBLN5; CAD; SORL1; APOE; APOB; SLC4A1; SERPINC1; CLEC3B; PZP; CFI; A2M; GLIPR2; FASN; C4A; C3; APCS; ANXA13; FGG; LGALS1; S100A4; FGB; GUSB; ANXA1; AFM; TINAGL1; ITIH4; KLKB1; RAB27B; LAMB2; PRELP; TACSTD2; ENO3; THY1; ECM1; FLNA; EVPL; AKR1B1; CP; LGALS7; IGHM; SERPIND1; CPVL; NIBAN1; F2; SFRP1; HRG; PFKP; FN1; FERMT3; PYGL; KNG1; CFB; IGFALS; SFN; BASP1; OGN; CPN2; SCIN; SERPINA7; CKAP4; MASP2	2167	1262
