p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.07535332288e-10	2.6131085746e-08	GO:0016054	b	4	organic acid catabolic process	30; 34; 1428; 1579; 1962; 2168; 2731; 3081; 8528; 8659; 8942; 80896; 66002; 51179; 23475; 23600; 26061; 64902	NPL; KYNU; CYP4A11; HAO2; QPRT; CYP4F12; GLDC; AGXT2; CRYM; ACAA1; DDO; AMACR; FABP1; ALDH4A1; HGD; HACL1; EHHADH; ACADM	285	199
1.07535332288e-10	1.69905825015e-08	GO:0046395	b	5	carboxylic acid catabolic process	30; 34; 1428; 1579; 1962; 2168; 2731; 66002; 3081; 8528; 8659; 8942; 80896; 51179; 23475; 23600; 26061; 64902	NPL; KYNU; CYP4A11; HAO2; QPRT; CYP4F12; GLDC; AGXT2; CRYM; ACAA1; DDO; AMACR; FABP1; ALDH4A1; HGD; HACL1; EHHADH; ACADM	285	199
1.68797559977e-10	2.46444437566e-08	GO:0044282	b	3	small molecule catabolic process	30; 34; 1428; 1579; 1890; 1962; 2168; 2710; 2731; 3081; 8528; 8659; 8942; 80896; 66002; 51179; 23475; 23600; 26061; 26007; 64902	NPL; KYNU; CYP4A11; HAO2; QPRT; CYP4F12; GK; GLDC; ACAA1; TKFC; AGXT2; CRYM; TYMP; DDO; AMACR; FABP1; ALDH4A1; HGD; HACL1; EHHADH; ACADM	460	292
3.45628010117e-09	2.35027046879e-07	GO:0044281	b	2	small molecule metabolic process	30; 34; 338; 771; 94081; 1066; 1373; 1428; 1579; 1890; 1962; 2168; 2710; 2731; 2938; 3081; 3158; 5169; 5641; 5745; 5950; 7276; 8528; 8659; 8876; 8942; 9123; 10861; 10924; 51179; 80896; 66002; 377677; 23475; 23600; 26061; 26007; 64902	PTH1R; HACL1; SFXN1; GSTA1; AGXT2; AMACR; FABP1; ACADM; QPRT; KYNU; APOB; CYP4F12; TTR; GLDC; EHHADH; ACAA1; HMGCS2; VNN1; CA13; CA12; ENPP3; CES1; CRYM; RBP4; ALDH4A1; HGD; GK; NPL; SMPDL3A; CYP4A11; LGMN; SLC26A1; SLC16A3; TKFC; TYMP; DDO; HAO2; CPS1	2157	1111
2.18984251667e-08	7.88343306e-07	GO:0031907	c	4	microbody lumen	30; 1428; 1962; 2168; 8528; 51179; 23600; 26061	AMACR; HACL1; CRYM; ACAA1; DDO; FABP1; HAO2; EHHADH	51	36
2.18984251667e-08	3.284763775e-07	GO:0005782	c	5	peroxisomal matrix	30; 1428; 1962; 2168; 8528; 51179; 23600; 26061	AMACR; HACL1; CRYM; ACAA1; DDO; FABP1; HAO2; EHHADH	51	36
3.55570055169e-07	4.3201761703e-05	GO:0044242	b	4	cellular lipid catabolic process	30; 34; 338; 1373; 1579; 1962; 2168; 10924; 66002; 51179; 23600; 26061	SMPDL3A; CYP4A11; CYP4F12; CPS1; AMACR; ACAA1; FABP1; APOB; HAO2; HACL1; EHHADH; ACADM	239	139
5.52413747382e-07	4.4745513538e-05	GO:0016042	b	4	lipid catabolic process	30; 34; 338; 1066; 1373; 1579; 1962; 2168; 10924; 66002; 51179; 23600; 26061	SMPDL3A; CYP4A11; CYP4F12; CPS1; CES1; AMACR; ACAA1; FABP1; APOB; HAO2; HACL1; EHHADH; ACADM	346	173
1.77448423465e-06	0.000140184254538	GO:0009062	b	5	fatty acid catabolic process	30; 34; 1579; 1962; 2168; 66002; 51179; 23600; 26061	CYP4A11; CYP4F12; AMACR; ACAA1; FABP1; HAO2; HACL1; EHHADH; ACADM	114	83
2.12068889702e-06	0.000154810289482	GO:1901615	b	3	organic hydroxy compound metabolic process	30; 338; 1066; 1428; 1579; 2710; 3158; 5641; 5745; 5950; 7276; 66002; 23600; 26007	PTH1R; HMGCS2; APOB; LGMN; AMACR; CYP4F12; TTR; TKFC; CES1; CRYM; ACAA1; RBP4; CYP4A11; GK	547	227
