p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.22874091734e-06	6.14370458672e-05	GO:0062023	c	3	collagen-containing extracellular matrix	335; 462; 633; 1012; 1215; 1359; 1462; 3273; 7373; 25890; 64129	CDH13; SERPINC1; CPA3; TINAGL1; VCAN; COL14A1; BGN; CMA1; ABI3BP; HRG; APOA1	426	185
1.29659223753e-06	0.000291733253443	GO:0015711	b	5	organic anion transport	335; 1375; 5321; 6513; 6521; 6850; 7369; 8714; 9194; 3039; 160728	CPT1B; SYK; UMOD; SLC2A1; SLC5A8; SLC4A1; SLC16A7; HBA1; PLA2G4A; APOA1; ABCC3	505	186
2.79406736581e-06	0.000122938964096	GO:0031012	c	2	extracellular matrix	335; 462; 633; 1012; 1215; 1359; 1462; 3273; 7373; 25890; 64129	CDH13; SERPINC1; CPA3; TINAGL1; VCAN; COL14A1; BGN; CMA1; ABI3BP; HRG; APOA1	566	201
3.6174192114e-06	0.000406959661283	GO:0046394	b	5	carboxylic acid biosynthetic process	246; 335; 351; 587; 633; 1462; 2944; 2946; 5214; 5321; 6521; 6850	GSTM2; SYK; GSTM1; APP; VCAN; BCAT2; BGN; PFKP; ALOX15; SLC4A1; PLA2G4A; APOA1	462	250
3.77199917868e-06	0.00110519575935	GO:0016053	b	4	organic acid biosynthetic process	246; 335; 351; 587; 633; 1462; 2944; 2946; 5214; 5321; 6521; 6850	GSTM2; SYK; GSTM1; APP; VCAN; BCAT2; BGN; PFKP; ALOX15; SLC4A1; PLA2G4A; APOA1	463	251
5.42241459893e-06	0.000981457042407	GO:0044283	b	3	small molecule biosynthetic process	231; 246; 272; 335; 351; 587; 633; 1462; 2944; 2946; 5214; 5321; 6521; 6850; 51477	PLA2G4A; GSTM2; AMPD3; GSTM1; APP; VCAN; BCAT2; BGN; PFKP; SYK; ALOX15; SLC4A1; AKR1B1; APOA1; ISYNA1	797	412
9.9143747271e-06	0.000743578104532	GO:0006820	b	5	anion transport	335; 1375; 5321; 6513; 6521; 6850; 7369; 8714; 9194; 3039; 160728	CPT1B; SYK; UMOD; SLC2A1; SLC5A8; SLC4A1; SLC16A7; HBA1; PLA2G4A; APOA1; ABCC3	657	229
1.78815053998e-05	0.00251079737327	GO:0035809	b	4	regulation of urine volume	231; 6521; 7369	AKR1B1; UMOD; SLC4A1	21	6
2.57078229345e-05	0.00251079737327	GO:0006811	b	4	ion transport	335; 351; 1375; 2946; 5321; 6513; 6521; 6850; 7070; 7369; 8714; 9071; 9194; 3039; 160728	CLDN10; CPT1B; SYK; APP; UMOD; SLC2A1; APOA1; SLC5A8; THY1; SLC4A1; SLC16A7; HBA1; PLA2G4A; GSTM2; ABCC3	1655	468
3.10747156569e-05	0.000466120734853	GO:0014731	c	5	spectrin-associated cytoskeleton	286; 6708; 6710	SPTA1; ANK1; SPTB	9	7
